Descripción del Artículo,Precio Mayoreo,Proveedor
 FARMAREST AER 100 MCG X 200        ,28.63,Cobeca
9 VIT SOL/AMP 10 ML X 1             ,23.79,Cobeca
A D VIT SUSP 240 ML                 ,46.05,Cobeca
AARCIFLOX SOL 400MG/200ML/0.9G X 200,8.53,Cobeca
AARVIT-K INY IV/IM 10MG/ML X 10 CADU,309.68,Cobeca
ABECAB 5 TAB 40 MG X 30             ,23.25,Cobeca
ABRETIA CAP 10 MG X 10              ,94.27,Cobeca
ABRETIA CAP 18 MG X 10              ,114.65,Cobeca
ABRETIA CAP 25 MG X 20              ,152.87,Cobeca
ABVITOS SOL GTA PED X 30 ML         ,45.16,Cobeca
AC ACETILSALICILICO COM 81MG X 100 D,20.7,Cobeca
AC ACETILSALICILICO TAB 81 MG X 10  ,10.95,Cobeca
ACEITE D/HIGADO D/BACAL EMU 180 ML B,41.18,Cobeca
ACEITE RICINO X 30 ML RECETT        ,21.65,Cobeca
ACEITE VAL D/MAGNESIO 118 ML        ,58.82,Cobeca
ACETAB TAB 250 MG X 20              ,61.12,Cobeca
ACETAFEN FORTE JBE 180MG/5ML X 120 M,19.41,Cobeca
ACETAMINO/TRAMA TAB 325/37.5 MG X 10,27.15,Cobeca
ACETAMINO/TRAMA TAB 325/37.5 MG X 30,31.63,Cobeca
ACETAMINOFEN +PLUS TAB 800 MG X 10 B,7.84,Cobeca
ACETAMINOFEN CLORF/MAL JBE 125MG/1MG,18.38,Cobeca
ACETAMINOFEN COM 500 MG DISP X 20 X ,151.59,Cobeca
ACETAMINOFEN COM 650 MG X 10 BIOQ   ,7.27,Cobeca
ACETAMINOFEN COM 650 MG X 10 GVN    ,7.6,Cobeca
ACETAMINOFEN COM 650 MG X 20 BIOQ   ,13.53,Cobeca
ACETAMINOFEN COM 650 MG X 30 GNV    ,21.01,Cobeca
ACETAMINOFEN COM 650MG DISP X 80 X 1,1308.24,Cobeca
ACETAMINOFEN COMP 500 MG X 10 GNV   ,7.68,Cobeca
ACETAMINOFEN COMP 750 MG X 10 BIOQ  ,9.44,Cobeca
ACETAMINOFEN JBE 180MG/5ML PED X 120,28.71,Cobeca
ACETAMINOFEN JBE PED 150MGX120ML LA ,24.61,Cobeca
ACETAMINOFEN JBE S/ALC X 120 ML COFA,25.45,Cobeca
ACETAMINOFEN SOL 120 MG/5ML X100 ML ,13.57,Cobeca
ACETAMINOFEN SOL 180 MG/5 ML X 120 M,19.29,Cobeca
ACETAMINOFEN SOL PED 180MG/5 ML X 90,12.67,Cobeca
ACETAMINOFEN SUP 100 MG X 6 KMPLUS  ,6.84,Cobeca
ACETAMINOFEN SUSP 120MG X 120ML ANDE,6.49,Cobeca
