Descripción del Artículo,Precio Mayoreo,Proveedor
ACEITE DE ALMENDRAS EXTRAFINO 30 ML,28.25,Dismeven
ACEITE DE RICINO EXTRAFINO 30 ML,29.93,Dismeven
ACETAMINOFEN (ETAMIN) 500 MG X 100 TAB,24.1,Dismeven
ACETAMINOFEN (ETAMIN) 500 MG X 50 TAB,13.16,Dismeven
ACETAMINOFEN (PARACETAMOL)  500 MG TABLETAS,3.36,Dismeven
"ACETAMINOFEN + TRAMADOL 325/37,5MG X 30 TAB",25.25,Dismeven
ACETAMINOFEN 120 MG/5 ML X 120 ML JARABE PEDIATRICO,27.19,Dismeven
ACETAMINOFEN 150MG/5ML JARABE X 120 ML,22.51,Dismeven
ACETAMINOFEN 325 MG + IBUPROFENO 200 MG + CAFEINA 40 MG X 10 TAB,9.27,Dismeven
ACETAMINOFEN 500 MG + TIOCOLCHICOSIDO 4 MG X 10 TAB,27.02,Dismeven
ACETAMINOFEN 650 MG X 10 COMPRIMIDOS ,11.04,Dismeven
"ACETATO DE CIPROTERONA 2 MG + ETINILESTRADIOL 0,035 MG X 21 COMP (EQ. DIANE 35) ",19.51,Dismeven
ACEVAL (ACETAMINOFEN) 180 MG/ 5 ML X 120 ML SOLUCION ORAL USO PEDIATRICO,28.69,Dismeven
ACEVAL (ACETAMINOFEN) 650 MG X 10 TAB,10.6,Dismeven
ACICLOVIR 200 MG TABLETAS,9.8,Dismeven
ACICLOVIR 200 MG x 24 TABLETAS (ÉLTER),32.31,Dismeven
ACIDO ACETILSALICILICO (SALICETIL) 100 MG X 10 COMP (EQ. ASPIRINA INFANTIL),0.88,Dismeven
ACIDO ACETILSALICILICO X 100 TAB,43.09,Dismeven
ACIDO FOLICO (CIDOFOL) 5 MG X 100 TAB,27.55,Dismeven
ACIDO FOLICO (CIDOFOL) 5 MG X 50 TAB,16.6,Dismeven
ACIDO FOLICO 10 MG X 20 TAB,7.77,Dismeven
ACIDO TRANEXAMICO 500 MG/ 5 ML AMP IV,12.1,Dismeven
ACIDO VALPROICO 250/5 ML X 120 ML,42.56,Dismeven
ACIDO VALPROICO 500 MG TABLETAS,13.69,Dismeven
ACIFAR ANTIACIDO SABOR MENTA X 150 ML SUSPENSION,76.2,Dismeven
"ADAPNE (ADAPALENO) 0,1 % X 30 GR GEL TOPICO (02/2023) ***OFERTA***",10.51,Dismeven
ADRENALINA 1 MG/ 1 ML AMP SC-IM-IV,4.15,Dismeven
AEROFLAT (SIMETICONA) 80MG/ML GOTAS,54.3,Dismeven
AFLAMAX 50 MG X 10 TAB,12.27,Dismeven
AFLAMAX 50 MG X 20 TAB,22.34,Dismeven
AGUA ESTERIL PARA DILUIR X 500 ML,17.22,Dismeven
AGUA ESTERIL PARA INYECCION X 10 ML AMPOLLA,4.59,Dismeven
AGUA MINERAL BIENESTAR 600 ML,52.62,Dismeven
AGUJA HIPODERMICA 19 X 1 CAJA X 100,21.53,Dismeven
AGUJA HIPODERMICA 20 X 1 1/2 CAJA X 100,21.53,Dismeven
AGUJA HIPODERMICA 20 X 1 CAJA X 100,21.53,Dismeven
AGUJA HIPODERMICA 26 X 1/2 CAJA X 100,21.53,Dismeven
AGUJA HIPODERMICA 30 X 1/2 CAJAX100,21.54,Dismeven
"AIRFEN ADULTO 0,05% SOL X 15 ML",37.97,Dismeven
"AIRFEN INFANTIL 0,025% SOL. X 15 ML",28.52,Dismeven
AIRON (MONTELUKAST) 4 MG X 30 TAB MASTICABLES PEDIATRICO,43.26,Dismeven
AIRON (MONTELUKAST) 5 MG X 10 TAB MASTICABLES PEDIATRICO,19.07,Dismeven
ALBENDAZOL 200MG X 2 TAB,5.83,Dismeven
ALCOHOL ANTISEPTICO AL 70% EN SPRAY X 180 ML,25.96,Dismeven
ALCOHOL ISOPROPILICO AL 70% X 1LT ,37.88,Dismeven
"ALFADYN (BRIMONIDINA TARTRATO) 0,20% SOLUCION OFTALMICA X 5 ML",57.74,Dismeven
ALGODÓN 500GR ,35.14,Dismeven
ALOPURINOL 100 MG X 10 TAB,6.53,Dismeven
"ALPRAM 0,5 MG X 30 TAB",25.16,Dismeven
ALPRAM 1 MG X 30 TAB,35.93,Dismeven
ALPRAM 2 MG X 30 TAB,49.09,Dismeven
ALPRAZOLAM 1 MG X 30 COMP,18.36,Dismeven
ALPRAZOLAM 1 MG X 30 COMP,27.02,Dismeven
AMBIODIPINA (AMLODIPINA) 10 MG TABLETAS,2.12,Dismeven
AMBROXOL 15 MG/5ML JBE X 120 ML PEDIATRICO  (ÉLTER),27.9,Dismeven
AMBROXOL 30MG/5ML JBE X 120 ML ADULTO (ELTER),32.84,Dismeven
AMIKACINA 100MG AMPOLLA,6.0,Dismeven
AMINOFILINA (AMINOFUNI) 250 MG/ 10ML X 10 ML AMPOLLA,10.33,Dismeven
AMIODARONA 200 MG TABLETAS,28.61,Dismeven
AMITRIPTILINA 25MG TAB,4.06,Dismeven
AMLODIPINA 5 MG + ATORVASTATINA 20 MG (ATODIP) X 30 TABLETAS RECUBIERTAS,40.17,Dismeven
AMLODIPINA BESILATO 10 MG TABLETAS,4.06,Dismeven
AMLODIPINA BESILATO 5 MG TABLETAS,3.53,Dismeven
AMOXICILINA + CLAV. DE POTASIO (500 MG + 125 MG) 625 MG TABLETAS (EQ. FULGRAM),30.9,Dismeven
AMOXICILINA 500 MG TABLETAS,13.24,Dismeven
AMOXIVAL (AMOXICILINA) 250MG/5ML X 90 ML POLVO PARA SUSP ORAL ,47.68,Dismeven
AMOXIVAL (AMOXICILINA) 750 MG/5ML X 70 ML POLVO PARA SUSP ORAL,76.9,Dismeven
AMOXIVAL (AMOXICILINA) 875 MG X 20 TABLETAS RECUBIERTAS,92.97,Dismeven
AMPICILINA 1 G AMPOLLA,4.94,Dismeven
AMPICILINA 1 G POLVO PARA INY IM/IV VIAL ***OFERTA***,3.53,Dismeven
AMPICILINA 500MG AMP,4.68,Dismeven
ANALPER CAF (ACETAMINOFEN 500 MG + CAFEINA 40 MG) X 10 TAB,18.54,Dismeven
ANAPIR (IBUPROFENO) 200MG X 10 CAPSULAS BLANDAS,11.12,Dismeven
ANAPIR (IBUPROFENO) 400MG X 10 CAPSULAS BLANDAS,19.25,Dismeven
ANTIFOM 40MG COMP REC X 10,43.0,Dismeven
ANTIFOM FORTE 160 MG X 10 COMPRIMIDOS RECUBIERTOS,51.56,Dismeven
APIRET 250MG x 6 SUPOSITORIOS PEDIATRICO,24.28,Dismeven
ATENOLOL 50 MG TABLETAS,5.21,Dismeven
ATORVASTATINA 20 MG TABLETAS,5.39,Dismeven
ATORVASTATINA 40 MG TABLETAS,9.18,Dismeven
ATORVASTATINA 40 MG X 30 TAB,30.02,Dismeven
ATROVERAN (BUTILBROMURO DE HIOSCINA) 10 MG X 10 TAB RECUBIERTAS,47.06,Dismeven
ATROVERAN (BUTILBROMURO DE HIOSCINA) 10 MG/ML X 15 ML SOL GOTAS ,40.26,Dismeven
AZITROMICINA 500 MG TABLETAS X 3,18.36,Dismeven
BACTEVAL (SULFAMETIZOL 250 MG + FENAZOPIRIDINA CLORHIDRATO 50 MG) X 24 COMPRIMIDOS,55.71,Dismeven
BACTRIZOL (METRONIDAZOL) 5MG/ ML X 100 ML SOLUCION INYECTABLE,43.09,Dismeven
BACTROCIS (MOXIFLOXACINA) CREMA ,17.57,Dismeven
"BACUMER (METRONIDAZOL 2,5% - FLUCONAZOL 2% - DEXAMETASONA 1%) X 20 G CREMA DE USO TOPICO",25.52,Dismeven
BARROCUTINA TEENS TONICO FACIAL ASTRINGENTE X 120 ML,38.41,Dismeven
BATA PARA CIRUJANO ESTERIL CON PUÑO,34.43,Dismeven
BATA PARA PACIENTE ESTERIL,17.23,Dismeven
BEDUCIS C/GLICERINA X 200 ML,31.7,Dismeven
BENCIDAMINA CLORHIDRATO 0.15% X 120 ML SOLUCION ,25.25,Dismeven
BENFLUX  (AMBROXOL) X 20 TAB ,31.87,Dismeven
BETAGEMER (BETAMETASONA 0.1% + GENTAMICINA 0.1% ) CREMA,24.1,Dismeven
BETAMETASONA 4 MG / 1 ML AMP,3.0,Dismeven
"BETASALICIS (BETAMETASONA 0,1% + ACIDO SALICILICO 0,05%) X 20 G CREMA",27.81,Dismeven
BEVINDAZOL 400MG/10ML SUSPENSION,17.66,Dismeven
BEXILON (BROMEXINA) 4MG/5ML X 120 ML JARABE,15.19,Dismeven
BICARBONATO DE SODIO  5% 100 ML,31.87,Dismeven
BIOPRAZOL (OMEPRAZOL) 20 MG TABLETAS DE LIBERACION RETARDADA,4.24,Dismeven
BIPROLIL (BISOPROLOL) 5 MG X 15 COMP REC ,24.02,Dismeven
BISACODILO 5 MG TABLETAS (EQ. DULCOLAX),4.41,Dismeven
"BISOPROLOL FUMARATO 2,5 MG X 10 TAB (EQ. ANTAAR)",8.03,Dismeven
BISOPROLOL FUMARATO 5 MG X 10 TAB (EQ. ANTAAR),4.94,Dismeven
BOOZSPORT (SALICILATO METILICO 10% + MENTOL 7% + ALCANFOR 2%) X 40 G CREMA,18.81,Dismeven
"BOROCANFOR ""COOL"" POLVO ANTISEPTICO X 60 GR",17.39,Dismeven
"BOROCANFOR ""ORIGINAL"" POLVO ANTISEPTICO X 120 GR",27.72,Dismeven
BOROCANFOR CREMA X 80 GR,29.49,Dismeven
BREXIN FORTE (ACETAMINOFEN) 650MG X 10 TAB,12.71,Dismeven
BRIMONIDINA 2 MG X 5 ML GOTAS OFTALMICAS (EQ. ALFADYN),48.03,Dismeven
"BRODILIN 0,005MG/5ML JBE PEDIATRICO X 120ML ",39.38,Dismeven
BROMEXINA 4MG/5ML JBE X 120ML,15.89,Dismeven
BROMEXINA 8MG/5ML JBE X 120ML,16.16,Dismeven
BROMEXINA CLORHIDRATO 4 MG / 5 ML X 100 ML JARABE,34.08,Dismeven
BROMHEXINA 4MG/ 5ML X 120 ML ,22.87,Dismeven
BROXOL 50 MG/5 ML X 120 ML JARABE PEDIATRICO,35.49,Dismeven
BROXOL FLEM GOTAS X 30 ML,31.87,Dismeven
BUDENAS (BUDESONIDA) 1MG/ML X 200 DOSIS SUSPENSION PARA ATOMIZACION NASAL,62.95,Dismeven
BUDENAS (BUDESONIDA) SUSP. NASAL,57.21,Dismeven
BUMETIN RETARD (TRIMEBUTINA) 300 MG TAB X 20,66.57,Dismeven
BUSCOTRAN (HIOSCINA BUTILBROMURO) 20 MG X 1 ML AMP (EQ. BUSCAPINA),10.42,Dismeven
BUSCOTRAN PLUS (HIOSCINA BUTILBROMURO + METAMIZOL) 20 MG/ 2.5 G X 5 ML (EQ. BUSCAPINA COMPOSITUM),23.84,Dismeven
BUTILAMINA COMPUESTA (HIOSCINA + METAMIZOL) 10MG/250 MG X 20 TAB,28.61,Dismeven
CALCIO CON VITAMINA D3 (250 MG + 125 UI) TABLETAS,6.45,Dismeven
CANDER (CANDESARTAN) 16MG X 30 TAB,73.64,Dismeven
CANDER (CANDESARTAN) 8MG X 30 TAB,50.68,Dismeven
"CANDER HCT (CANDESARTAN 16MG  + HIDROCLOROTIAZIDA 12,5MG) X 30 TAB",81.23,Dismeven
"CANDER HCT (CANDESARTAN 8MG  + HIDROCLOROTIAZIDA 12,5MG) X 30 TAB",56.68,Dismeven
CANULA DE MAYO # 0 (60 MM) NEGRA,3.24,Dismeven
CANULA DE MAYO # 00 (50 MM) AZUL,3.24,Dismeven
CANULA DE MAYO # 000 (40 MM) ROSADO,3.24,Dismeven
CANULA DE MAYO # 1 (70 MM) BLANCA,3.24,Dismeven
CANULA DE MAYO # 5 (110 MM) TURQUESA,3.24,Dismeven
CANULA DE MAYO # 6 (120 MM) NARANJA,3.24,Dismeven
CANULA DE OXIGENO ADULTO,4.94,Dismeven
CANULA NASAL DE OXIGENO PEDIATRICO,3.95,Dismeven
CAPLAM (ALPRAZOLAM) 1 MG X 50 COMP,35.32,Dismeven
CARBAMAZEPINA 2% 100 MG/5 ML X 250 ML SUSPENSION ORAL,55.09,Dismeven
CARBAMAZEPINA 200 MG  TAB,19.87,Dismeven
CARBAMAZEPINA 200 MG X 10 TAB,8.12,Dismeven
CARBAMAZEPINA 400 MG TABLETAS,21.72,Dismeven
CARBIDOPA + LEVODOPA (25 MG + 250 MG) TABLETAS ,29.75,Dismeven
CARBONATO DE LITIO 300 MG X 10 TAB,8.39,Dismeven
CARDIPIRINA 80MG CAPSULAS X 30,16.69,Dismeven
"CARVEDILOL 12,5 MG TABLETAS",6.36,Dismeven
CARVEDILOL 25 MG TABLETAS,8.65,Dismeven
"CARVEDILOL 6,25 MG X 20 COMP",14.39,Dismeven
CEFEPIME 1000 MG INYECTABLE I.M/I.V,28.17,Dismeven
CEFOTAXIMA 1G AMP POLVO P/ INY,12.36,Dismeven
CEFRADINA 1G AMPOLLA,10.51,Dismeven
CEFTAZIDIMA (EFFECTIN) 500 MG POLVO LIOFILIZADO PARA INY IM/IV,34.43,Dismeven
CEFTIROL (CEFTRIAXONA) 1G POLVO PARA SOL INYECTABLE I.M/I.V,14.92,Dismeven
CEFTRIAXONA 1000 MG POLVO P/ INY,10.33,Dismeven
CELAY (CETIRIZINA)  10 MG X 10 TAB,20.04,Dismeven
