Descripción del Artículo,Precio Mayoreo,Proveedor
CASTAÑO DE INDIAS X 60 CAPSULAS,71.87,Drolanca
CENTELLA CON ALCACHOFA X 90 CAPS,71.87,Drolanca
CENTELLASAN X 90 CAPSULAS,71.87,Drolanca
CLORURO DE MAGNESIO 240 ML,52.92,Drolanca
COLAGENO CON VITAMINA C X 60 CAP,74.49,Drolanca
ESTIN JARABE 240 ML,50.05,Drolanca
EUCAMIEL 120ML JARABE,33.58,Drolanca
GINKO BILOBA X 60 CAPSULAS,71.87,Drolanca
GINSENG X 60 CAPSULAS,71.87,Drolanca
GLUCOSAMINA X 60 CAPSULAS,76.19,Drolanca
JENGIBRE MIEL 120 ML,46.39,Drolanca
LEVADURA DE CERVEZA X 60 CAPS,71.87,Drolanca
MACA X 60 CAP,71.87,Drolanca
MELATONINA 3 MG X 60 CAPSULAS BLANDAS,66.47,Drolanca
NERSAN JARABE 240 ML,38.69,Drolanca
NERSAN X 90 CAPSULAS,59.45,Drolanca
ÑAME SALVAJE 60 CAPSULAS,71.87,Drolanca
OMEGA 3 6 9 X 60 CAPSULAS,79.99,Drolanca
OMEGA 3 X 60 CAPSULAS,79.99,Drolanca
PASIFLORA 120ML JARABE,28.62,Drolanca
QUINCHONCHO 90 CAPSULAS,43.13,Drolanca
RABANO YODADO 120 ML,38.95,Drolanca
SAW PALMETTO X 60 CAPSULAS,76.45,Drolanca
SPIRULINA 500 MG X 60 CAPSULAS BLANDAS,85.39,Drolanca
VALERIANA X 90 CAPSULAS,43.13,Drolanca
VENOSAN X 90 CAPSULAS,59.45,Drolanca
VITAMINA E X 60 CAPSULAS,84.38,Drolanca
ZABILA 30 CAPSULAS,40.51,Drolanca
ZANAES JARABE 240ML,46.39,Drolanca
ZARZAPARRILLA 120 ML JARABE,28.62,Drolanca
ZARZAPARRILLA 300MG X 90 CAPSULAS,38.55,Drolanca
CASCARA SAGRADA 60 CAPSULAS,71.87,Drolanca
ZANAES 90 CAPSULAS,46.39,Drolanca
AMLODIPINA 10 MG X 30 TAB,19.64,Drolanca
AMLODIPINA 5 MG X 30 TAB,17.18,Drolanca
BUDESONIDA 200 MCH INHALADOR 200 DOSIS,204.55,Drolanca
CARBONATO DE LITIO 300 MG 100 CÁPSULAS,13.64,Drolanca
FEXOMAC 120MG X 10 TAB (FEXOFENADINA),23.88,Drolanca
IRBESARTAN 150 MG 30 TABLETAS RECUBIERT,46.26,Drolanca
"LEVOFLOXACINA 0,5% SOL PARA INFUSION I.V",17.97,Drolanca
