Descripción del Artículo,Precio Mayoreo,Proveedor
A ACIDO TRANEXAMICO 500MG/5ML X 1,15.8,Drolvilla Importado
A ACIDO TRANEXAMICO 500MG/5ML X 1,8.83,Drolvilla Importado
A ADRENALINA 1 MG IV/IM X 1 AM,4.09,Drolvilla Importado
A AMIKACINA 500MG/2ML IM/IV X 1 AMP NEX PHARMA,8.83,Drolvilla Importado
"A AMPICILINA SULB 1,5GR IV/IM X 1  NEX P      ",9.57,Drolvilla Importado
A CEFTRIAXONA AMP IM/IV 1G X 1 GREENPHARMA,3.72,Drolvilla Importado
A CEFTRIAXONA AMP IM/IV 1G X 1 P&M MEDICAL,3.72,Drolvilla Importado
A CLINDAMICINA 600 MG/4ML X 1 AMP NEX PHARMA,10.78,Drolvilla Importado
A DEXAMETAXONA 8MG/2ML AMP X 1 RONAMEDIC,7.43,Drolvilla Importado
A KETOPROFENO IM/IV100 MG/2 ML X 1 AMP ,7.43,Drolvilla Importado
A LEVOFLOXACINA I.V. 500 MG X 100 ML DAC  ,5.58,Drolvilla Importado
A LEVOFLOXACINA I.V. 500 MG X 100ML (LEVOMED),5.58,Drolvilla Importado
A LIDOCAINA2%+ADRENALINA I:80.000X 5 AMPOLLAS PARA USO SUBMUCOSO Y SUBCUTANEO,21.75,Drolvilla Importado
A MEROPENEM 1 GR P/SOL INY. X 1  P&M   ,48.32,Drolvilla Importado
A OMEPRAZOL AMP. 40 MG. X 1 (OCICURE I.V) DAC55,6.97,Drolvilla Importado
A PENICILINA G BENZ. 2.400.000 I.M. X 1,8.74,Drolvilla Importado
A VANCOMICINA 500 MG IV X 1 AMP NEX   ,19.61,Drolvilla Importado
AMOXICILINA 250MG/5ML PPS X 60ML FARMAME   ,12.55,Drolvilla Importado
ANOMEX (HIDR+LIDOC+ZINC+ALANT) SUP X 10   ,59.1,Drolvilla Importado
ATORVASTATINA 20 MG X 30 TAB BUKA,25.37,Drolvilla Importado
ATORVASTATINA 20MG X 30 TAB FARMAMED,18.12,Drolvilla Importado
ATORVASTATINA 40 MG X 30 TAB REC DAC    ,27.41,Drolvilla Importado
ATORVASTATINA 40MG X 30 TAB FARMAMED,20.91,Drolvilla Importado
AZITROMICINA 500 MG X 3 TAB FARMAMED  ,15.05,Drolvilla Importado
BACITRACINA 500U/I UNGUENTO X 20 GR DAC              ,15.98,Drolvilla Importado
BETADEX 0.1% X 15 GR (BETAMETASONA),18.12,Drolvilla Importado
BETAHISTINA 16 MG X 20 TAB FARMAMED,18.12,Drolvilla Importado
BISACODILO 5MG X 10 TAB (DULCOLAX),10.5,Drolvilla Importado
BISOPROLOL 10 MG X 30 TAB-FARMAMED      ,15.61,Drolvilla Importado
"BISOPROLOL FUMARATO 2,5MG X 30 TAB LATTA      ",24.16,Drolvilla Importado
BISOPROLOL FUMARATO 5 MG X 30 TAB LATTA      ,30.2,Drolvilla Importado
BUTILBROMURO DE HIOSC 10MG X 14 LATTAN  ,31.41,Drolvilla Importado
CALCIO 600 MG X 60 TABL,34.94,Drolvilla Importado
CARBAMAZEPINA 200MG X 20 TAB DAC,18.12,Drolvilla Importado
CARBAMAZEPINA 200MG X 20 TAB FARMAMED,17.84,Drolvilla Importado
CARBONATO DE LITIO 300 MG X 20 CAP FARMAMED,14.5,Drolvilla Importado
CEFADROXILO 500 MG X 10 TAB DAC,21.65,Drolvilla Importado
CEFIXIMA 400MG X 10 TAB DISP DAC55,39.96,Drolvilla Importado
CEFIXIMA 400MG X 10 TAB FARMAMED,80.38,Drolvilla Importado
CETIRIZINA 10 MG X 10 TAB DAC,4.93,Drolvilla Importado
CETIRIZINA 10 MG X 10 TAB FARMAMED,4.18,Drolvilla Importado
CICLOGYNON LEVON+ETINIL X 21 TAB TIARES (NORDETTE / TRIQUILAR / COCLOFEMME / MICROGYNON),18.96,Drolvilla Importado
CIPROFLOXACINA 500 MG TAB X 10 DAC,13.66,Drolvilla Importado
CIPROFLOXACINA 500 MG X 10 TAB-FARMAMED,13.38,Drolvilla Importado
CITICOLINA 500 MG X 10 TAB - FARMAMED      ,44.61,Drolvilla Importado
CLINDAMICINA+KETOCONAZOL OVUL VAG X 5  ,59.1,Drolvilla Importado
CLINFAST (CLINDAMICINA+CLOTRIMAZOL) OVUL VAG X 3,46.84,Drolvilla Importado
CLONEDAC FEET (BIFONAZOL 1%) CR X 20 GR (CANESFAT),17.19,Drolvilla Importado
CLONIDINA 0.150MG X 30 TAB GREENPHARMA,21.75,Drolvilla Importado
CLOTRIMAZOL 100 MG X 6 TAB VAG + APL  ,21.19,Drolvilla Importado
CLOTRIMAZOL 500 MG X 1 TAB VAG + APL ,17.84,Drolvilla Importado
"DAC-LAX POLVO P/SOL 8,5G X 120 GR (MILAX)",11.15,Drolvilla Importado
DANI 35 MCG CIPROT+ETINELST X 21 TAB TIARES (DIANE 35 / DIXI 35),56.87,Drolvilla Importado
DEXAMETASONA 4 MG X 10 TAB FARMAMED,6.69,Drolvilla Importado
DICLOFENAC POT 100 MG X 10 TAB LATTAN       ,12.08,Drolvilla Importado
DICLOFENAC POT 50 MG PAC X 10 TAB + 10 TAB  ,7.81,Drolvilla Importado
DICLOFENAC POT 50 MG X 20 TAB REC DAC,7.99,Drolvilla Importado
DIGOXINA 0.25 MG TAB X 30 LATTAN MEDIC,24.16,Drolvilla Importado
DIOSMINA 600 MG X 10 TAB FARMAMED,31.41,Drolvilla Importado
DIOSMINA-HESPER 450MG/50MG X 10 TAB DAC   ,43.4,Drolvilla Importado
ESCITALOPRAM  10 MG X 14 TAB LATTAN    ,36.24,Drolvilla Importado
ESOMEPRAZOL 40 MG X 14 TAB LATTAN MEDIC,18.12,Drolvilla Importado
ETORICOXIB 90MG TAB X 7 LATTAN MEDIC        ,18.12,Drolvilla Importado
FLAVOXATO 200MG X 10 TAB FARMAMED,15.71,Drolvilla Importado
FLUOXETINA 20MG X 20 TAB FARMAMED,11.15,Drolvilla Importado
GABAPENTINA 300 MG X 20 TAB FARMAMED,7.25,Drolvilla Importado
GABAPENTINA 300MG X 14 CAPS LATTAN,14.5,Drolvilla Importado
GEMFIBROZIL 600 MG X 30 TAB LATTAN MEDIC         ,48.32,Drolvilla Importado
GLIBENCLAMIDA 5 MG X 30 TAB- FARMAMED,11.15,Drolvilla Importado
GLIMEPIRIDA 2 MG X 30 TAB-FARMAMED,8.92,Drolvilla Importado
"GYNO CLONEDAC VAG 1% CR X 50 GR 6 DIAS (GYNOCANESTEN, CLOTRIMAZOL) CREMA VAGINAL",26.11,Drolvilla Importado
HALOPERIDOL 5MG X 20 TAB JMW,22.67,Drolvilla Importado
HIOSCINA N-BUTILBROMURO 10MG X 10 TAB    ,12.82,Drolvilla Importado
IBUPROFENO 400 MG X 20 TAB DROVENPLUS,10.32,Drolvilla Importado
IBUPROFENO 600MG X 10 TAB FARMAMED,8.36,Drolvilla Importado
IBUPROFENO 800 MG X 10 TAB FARMAMED,8.92,Drolvilla Importado
IBUPROFENO+TIOCOLCHICOSIDO 600M X 10 DAC   ,21.65,Drolvilla Importado
ITRACONAZOL 100 MG X 10 CAP- FARMAMED,20.07,Drolvilla Importado
KETODAC 100 MG X 10 CAP (KETOPROFENO) DAC,14.68,Drolvilla Importado
KETOROLACO 10MG BLIST X 10 TABR PORTUGAL,10.32,Drolvilla Importado
KETOROLACO TROMETAMINA 20 MG X 10 TAB F     ,5.58,Drolvilla Importado
LAMOTRIGINA 100 MG TAB X 30 LATTAN MEDIC,32.62,Drolvilla Importado
"LATROS SOL OFT 0,05% X 3ML (LATANOPROST)",58.59,Drolvilla Importado
