Descripción del Artículo,Precio Mayoreo,Proveedor
BETAGRANULOS CREMA TUBO X 60 GR,207.09,Drolvilla Nacionales
BONAVEN AVENA BARRA X 120 GR,198.9,Drolvilla Nacionales
BONAVEN LOCIÓN FCO X 120 ML,207.09,Drolvilla Nacionales
CALCIBON NATAL FORTE TAB X 30 FARMA,128.44,Drolvilla Nacionales
CALPAL D  NATAL TAB REC X 30 BIOTECH,83.98,Drolvilla Nacionales
CEPIN CREMA X 50 GR,151.0,Drolvilla Nacionales
EKICAL ALIM LIQUIDO SUSP X 120 ML,74.1,Drolvilla Nacionales
EMOLIN NEO LOCIÓN X 240 ML,313.56,Drolvilla Nacionales
HIDRIBET 5 % LOCION FCO X 125 ML,160.29,Drolvilla Nacionales
KIDCAL SUSP TUTTI-FRUTTI X 180ML,116.09,Drolvilla Nacionales
LISIN-BE ALIMENTO LIQUIDO FCO X 120 ML,72.87,Drolvilla Nacionales
MAGALEX 100MG  CAP X 30 (MAGNESIO),108.68,Drolvilla Nacionales
UMBRELLA KIDS WP X 120 GR SPF 50,136.53,Drolvilla Nacionales
A CICLOKAN 500 MG/5 ML X 1 AMP,60.84,Drolvilla Nacionales
A CITICOLINA 500MG/2ML (CIATAL) X 1 MEYE,19.37,Drolvilla Nacionales
A DECOBEL AMP 8MG/2ML X 2 ML VIAL,34.03,Drolvilla Nacionales
A KELAC 30 MG/ML 1ML X 3 AMP (KETOROLAC),78.39,Drolvilla Nacionales
A KETOPROFENO I.M 100 MG/2 ML X 2 AMP GV,51.2,Drolvilla Nacionales
A TRIAMCINOLONA-ACETONIDO 10MG/1ML X 1,73.85,Drolvilla Nacionales
A VITAMINA B12 1 ML X 3 AMP KLINOS,93.6,Drolvilla Nacionales
A VITAMINA C 100MG/ML  X 3 AMP  5ML KLIN,93.6,Drolvilla Nacionales
ACEITE DE ALMENDRAS X 30 ML LYA,16.0,Drolvilla Nacionales
ACEITE DE RICINO  X 30 ML LYA,21.5,Drolvilla Nacionales
ACEITE MINERAL X 30 ML LYA,16.0,Drolvilla Nacionales
ACETAB 250 MG X 20 TAB,95.76,Drolvilla Nacionales
ACETAMINOFEN 1000 MG COMP X10 SPEFAR,43.82,Drolvilla Nacionales
ACETAMINOFEN 150MG/5ML JBE X 120 ML ELTE,36.55,Drolvilla Nacionales
ACETAMINOFEN 500 MG TAB X 20 LA SANTE,21.08,Drolvilla Nacionales
ACETAMINOFEN 500MG X 10 COMP GENVEN,10.77,Drolvilla Nacionales
ACETAMINOFEN 500MG X 20 TAB QUIMFAR,19.07,Drolvilla Nacionales
ACETAMINOFEN 650 MG X 10 COMP GENVEN,9.28,Drolvilla Nacionales
ACETAMINOFEN 650 MG X 30 COMP GENVEN,25.66,Drolvilla Nacionales
ACETAMINOFEN 650MG DISP TAB X 100 LA SAN,93.75,Drolvilla Nacionales
ACETAMINOFEN 650MG X 10 TAB PLUSANDEX,11.15,Drolvilla Nacionales
ACETAMINOFEN COMP 750 MG X10 SPEFAR,14.85,Drolvilla Nacionales
ACETAMINOFEN SUSP 120MG/5MLX120ML QF,34.94,Drolvilla Nacionales
ACETAMINOFEN+CLOF+CAFEINA X 6 COMP SPEFA,20.0,Drolvilla Nacionales
ACETOBEN 100MG/5ML JBE X 120 ML,55.05,Drolvilla Nacionales
ACICLOR 200MG/5ML PPS X 60 ML,72.88,Drolvilla Nacionales
ACICLOR 5% CREMA X 10 GR GENVEN,55.32,Drolvilla Nacionales
ACICLOR A.P. COMP. 1 GR. X 10.  LETI,135.6,Drolvilla Nacionales
ACIDO ACETILSALICILICO 81MG X 30 COMP SP,38.9,Drolvilla Nacionales
ACIDO FOLICO 10 MG X 20 TAB PLUSANDEX,13.49,Drolvilla Nacionales
ACIDO FOLICO 10 MG X 30 TAB DALIOL,17.48,Drolvilla Nacionales
