Descripción del Artículo,Precio Mayoreo,Proveedor
ACTIMOVE CODERA EPISPORT T-XL           ,64.28,Gracitana Material Medico
ACTIMOVE MUÑEQ ELAST C/ F LEFT T- XL    ,172.93,Gracitana Material Medico
ACTIMOVE MUÑEQUERA C/FERULA T-L LEFT    ,172.93,Gracitana Material Medico
ACTIMOVE MUÑEQUERA C/FERULA T-M LEFT    ,172.93,Gracitana Material Medico
ACTIMOVE MUÑEQUERA C/FERULA T-S LEFT    ,172.93,Gracitana Material Medico
ACTIMOVE MUÑEQUERA ELAST C/F RIGHT T-L  ,172.93,Gracitana Material Medico
ACTIMOVE MUÑEQUERA ELAST C/F RIGHT T-M  ,172.93,Gracitana Material Medico
ACTIMOVE MUÑEQUERA ELAST C/F RIGHT T-S  ,172.93,Gracitana Material Medico
ACTIMOVE MUÑEQUERA GAUNTLET L RIGHT     ,70.76,Gracitana Material Medico
ACTIMOVE MUÑEQUERA MANU / F / P LEFT    ,150.05,Gracitana Material Medico
ACTIMOVE MUÑEQUERA MANUFIX  XL RIGHT    ,130.99,Gracitana Material Medico
ADHESIVO MICROPORE 2 X 5 YDS X 6UND PROM,71.57,Gracitana Material Medico
AGUJA EPIDURAL N°16                     ,3.58,Gracitana Material Medico
ALCOHOL ABSOLUTO 1000 ML BIOFARCO       ,66.89,Gracitana Material Medico
ALCOHOL ABSOLUTO 120 CC (BIOFARCO)      ,20.16,Gracitana Material Medico
ALCOHOL ABSOLUTO 240ML (BIOFARCO)       ,31.69,Gracitana Material Medico
ALCOHOL ABSOLUTO 500ML (BIOFARCO)       ,47.38,Gracitana Material Medico
ALCOHOL ABSOLUTO 60ML (BIOFARCO)        ,13.22,Gracitana Material Medico
ALCOHOL ABSOLUTO 96% X 240 ML           ,12.88,Gracitana Material Medico
ALCOHOL ABSOLUTO 96% X 950ML            ,43.76,Gracitana Material Medico
ALCOHOL ABSOLUTO X 500 ML RECETEMARK    ,53.19,Gracitana Material Medico
ALCOHOL ANTISEPTICO AL 70% X 1000ML BIOF,45.51,Gracitana Material Medico
ALCOHOL ETILICO 70% SPRAY X 180 ML VICEN,27.07,Gracitana Material Medico
ALCOHOL ETILICO 70% SPRAY X 60 ML (VINCE,16.18,Gracitana Material Medico
ALCOHOL YODADO 120ML BIOFARCO           ,30.54,Gracitana Material Medico
ALCOHOL YODADO 30ML (RECETTEMARK)       ,14.18,Gracitana Material Medico
ALGODON HIDEVEN 10 GR                   ,4.72,Gracitana Material Medico
ALGODON HIDEVEN 25GR                    ,9.63,Gracitana Material Medico
ALGODON HIDEVEN 50 GR                   ,15.11,Gracitana Material Medico
ALGODON HIDEVEN MOTAS BLANCAS X 100 UND ,27.71,Gracitana Material Medico
ALGODON HIDEVEN MOTAS BLANCAS X 50 UND  ,14.86,Gracitana Material Medico
ALGODON HIDEVEN X 250 GR                ,75.04,Gracitana Material Medico
BAJA LENGUA PAQ X 100                   ,16.48,Gracitana Material Medico
BATA PACIENTE 30GR (S)                  ,4.03,Gracitana Material Medico
BATA PACIENTE 40 GR (DEXX)              ,5.37,Gracitana Material Medico
BATA PARA CIRUJANO 40GR (DEXX)          ,20.92,Gracitana Material Medico
BATA PROTECCION EXTREMA                 ,46.93,Gracitana Material Medico
BOLSA DE RESERVORIO 3 LT (DYNAMICS)     ,53.06,Gracitana Material Medico
BOLSA DESECHOS BIOLOGICOS 40 L          ,8.11,Gracitana Material Medico
BOLSA RECOLECT DE ORINA 2000 ML INSUMEDI,5.61,Gracitana Material Medico
BRAGA DE BIOSEGURIDAD 40 GR STANDAR     ,81.24,Gracitana Material Medico
BURETA 100 ML (IP MEDICAL)              ,18.01,Gracitana Material Medico
BURETA 150 ML (IP MEDICAL)              ,19.59,Gracitana Material Medico
CAMPO ABIERTO NO ESTERIL 40 GR (DEXX)   ,3.17,Gracitana Material Medico
CAMPO CERRADO NO ESTERIL 40 G (DEXX)    ,3.17,Gracitana Material Medico
CANULA DE MAYO 60 MM (BIOSCIENCE)       ,3.26,Gracitana Material Medico
CANULA DE MAYO 70 MM (BIOSCIENCE)       ,3.26,Gracitana Material Medico
CANULA DE MAYO 80 MM (BIOSCIENCE)       ,3.26,Gracitana Material Medico
CANULA NASAL DE OXIGENO PED BIGOTE PM   ,7.66,Gracitana Material Medico
CEPILLO QUIRURGICO SECO (DEXX)          ,2.24,Gracitana Material Medico
