Descripción del Artículo,Precio Mayoreo,Proveedor
3 CREMA (GENTAMICINA+BETAMETASONA+CLOTRIMAZOL) 30GR BLUE MEDICAL,22.49,Insuaminca
9-VIT MULTIVITAMINICO X 20 TAB EFERVESCENTE DPT,101.84,Insuaminca
ABRETIA 10MG X 10 CAP (ATOMOXETINA) MEGALABS,92.42,Insuaminca
ABRETIA 18 MG X 10 CAP (ATOMOXETINA) MEGALABS,120.09,Insuaminca
ACEITE ALCANFORADO X 30 ML  RECETTEMARK,16.54,Insuaminca
ACEITE CREMOSO ARNICA FC X 200ML FC PHARMA,52.18,Insuaminca
ACEITE CREMOSO PARA BEBE X 200 ML  MIMADITO,26.09,Insuaminca
ACEITE DE ALMENDRAS DULCES 30CC BIOFARCO,13.58,Insuaminca
ACEITE DE PALO X 30 ML  RECETTEMARK,21.66,Insuaminca
ACEITE MINERAL 30ML BIOFARCO,13.15,Insuaminca
ACEITE MINERAL X 30 ML  RECETTEMARK,9.35,Insuaminca
ACEITE MINERAL X 30ML LYA,13.15,Insuaminca
ACEITE PROTECTOR HAWAIIAN TROPIC DE ZANAHORIA SPRAY X 180ML 30FPS,80.24,Insuaminca
ACEITE RICINO 30ML BIOFARCO,18.67,Insuaminca
ACEITE SECO HAWAIIAN TROPIC ARGAN OIL SPRAY X 220ML 6FPS,109.08,Insuaminca
ACERT-8  8 MG X 10 TAB CAJA X 10 BLISTER CANDESARTAN PRISM,127.3,Insuaminca
ACETAB 250 MG X 20 TAB (ACETAZOLAMIDA) OFTALMI,59.83,Insuaminca
ACETAMINOFEN  500MG X 10 TAB GDG PHARMA,2.97,Insuaminca
"ACETAMINOFEN - TRAMADOL 325MG - 37,5MG X 30 TAB DAC55",25.89,Insuaminca
ACETAMINOFEN - TRAMADOL 325MG - 37.5MG X 10 TAB CALOX,23.76,Insuaminca
ACETAMINOFEN 1000 MG X 10 COMP SPEFAR,21.13,Insuaminca
ACETAMINOFEN 100MG X 10 SUPOSITORIOS KMPLUS,9.34,Insuaminca
ACETAMINOFEN 120MG/5ML JARABE X 120ML COFASA,26.73,Insuaminca
ACETAMINOFEN 125MG/5ML SUSP (PEDIATRICO) X 60 ML KMPLUS,12.31,Insuaminca
ACETAMINOFEN 160MG/5ML SUSP X 100ML KMPLUS,14.0,Insuaminca
ACETAMINOFEN 180MG/5ML JBE X 120ML ALESS,28.43,Insuaminca
ACETAMINOFEN 500 MG X 10 TAB CAJA X 10 BLISTER JMW,25.46,Insuaminca
ACETAMINOFEN 500MG X 10 TAB CAJA X 10 BLISTER LATTAN,46.68,Insuaminca
ACETAMINOFEN 500MG X 10 TAB CAJA X 30 BLISTER LAPROFF,76.38,Insuaminca
ACETAMINOFEN 500MG X 20 TAB ALESS,11.88,Insuaminca
ACETAMINOFEN 650 MG X 10 COMP SPEFAR,11.46,Insuaminca
ACETAMINOFEN 650 MG X 10 TAB CAJA X 10 BLISTER JMW,50.92,Insuaminca
ACETAMINOFEN 650MG X 10 COM CALOX,7.89,Insuaminca
ACETAMINOFEN 750MG X 10 COMPR SPEFAR,17.48,Insuaminca
ACETAMINOFEN IBUPROFENO Y CAFEINA  325 / 200 /  40 MG  X 10 TAB CAJA X 10 BLISTER JMW,89.11,Insuaminca
ACETAMINOFEN PLUS 800MG X 10 TAB BLUE MEDICAL,6.79,Insuaminca
ACETAMINOFEN Y TIOCOLCHICOSIDO 500 / 4 MG X  10 TAB CAJA X 10 BLISTER JMW,254.61,Insuaminca
ACETAMINOFEN+CLORFENIRAMINA 125MG-1ML/5 ML JBE X 120 ML BIOQUIMICA,18.67,Insuaminca
ACETATO DE CIPROTERONA+ ETINILESTRADIO 2MG+0.035 MG X 21 TAB MABRA,21.22,Insuaminca
ACETATO DE DEXAMETASONA + CLOTRIMAZOL + NEOMICINA X 20G CREMA REMENY,29.7,Insuaminca
ACETOBEN 100MG/5ML  JBE X 120 ML (GUAIFENESINA) RONAVA,28.35,Insuaminca
ACEVAL 650MG X 10 TAB (ACETAMINOFEN) VALMORCA,11.88,Insuaminca
ACEVAL GOTAS 100MG/ML X 30ML VALMORCA,26.48,Insuaminca
ACICLOVIR  5% CREMA 30G UNILINK,12.73,Insuaminca
ACICLOVIR 200 MG X 10 TAB POLINAC,12.73,Insuaminca
ACICLOVIR 200 MG X 25 TAB CALOX,33.18,Insuaminca
ACICLOVIR 200MG X 10 TAB KMPLUS,8.91,Insuaminca
ACICLOVIR 200MG X 10 TAB LATTAN,9.34,Insuaminca
ACICLOVIR 200MG X 10TAB CAJA X 10 BLISTER LAND,97.6,Insuaminca
ACICLOVIR 200MG X 8 TAB CAJA X 30 BLISTER LAPROFF,203.69,Insuaminca
ACICLOVIR 5% CREMA X 20GR SGG,22.07,Insuaminca
ACICLOVIR CREMA 5% X 5G KMPLUS,8.91,Insuaminca
ACID MANTLE BABY CREMA X 30GR BAYER,126.46,Insuaminca
ACIDO ACETILSALICILICO 100MG X 30TAB KMPLUS,9.34,Insuaminca
ACIDO ACETILSALICILICO 81 X 30 COMPR SPEFAR,24.19,Insuaminca
ACIDO ACETILSALICILICO 81MG FRASCO X 100TAB LAND,50.92,Insuaminca
ACIDO ACETILSALICILICO 81MG X 10 TAB VINCENTI,9.76,Insuaminca
ACIDO ACETILSALICILICO 81MG X 100 TAB CAJA X 10 BLISTER CHEMICAL DAMPE,39.89,Insuaminca
ACIDO ACETILSALICILICO 81MG X 10TAB CAJA X 10 BLISTER BRIXMEDIC,42.86,Insuaminca
ACIDO ACETILSALICILICO 81MG X 10TAB CAMBRIDGE,3.82,Insuaminca
ACIDO ACETILSALICILICO 81MG X 24 TAB MEDIGEN,15.7,Insuaminca
ACIDO ACETILSALICILICO 81MG X 30TAB BLUE MEDICAL,10.18,Insuaminca
ACIDO ASCORBICO 500MG/ML I.V-I.M BLISTER X 10 AMP MEDEK,55.17,Insuaminca
ACIDO ASCORBICO MASTICABLE (VITAMINA C) 500MG X 10 TAB MAST CAJA X 10 BLISTER JMW,65.35,Insuaminca
ACIDO BORICO 400 MG X 10 CAPSULA VAGINALES LYA,28.01,Insuaminca
ACIDO BORICO SOBRE DE 10GR X1 FARMAX,3.82,Insuaminca
ACIDO BORICO X 10 CAP. VAG. BIOFARCO,18.67,Insuaminca
ACIDO FOLICO 10MG FRASCO X 60 TAB ANGELUS,18.67,Insuaminca
ACIDO FOLICO 10MG X 10 TAB MEYER,7.64,Insuaminca
ACIDO FOLICO 10MG X 20 COMPR KLINOS,17.99,Insuaminca
ACIDO FOLICO 10MG X 20 TAB CALOX,12.73,Insuaminca
ACIDO FOLICO 10MG X 30 COMPR KLINOS,19.1,Insuaminca
ACIDO FOLICO 10MG X 30 TAB MEYER,19.94,Insuaminca
ACIDO FOLICO 10MG X 30TAB GENCER,18.67,Insuaminca
ACIDO FOLICO 10MG/ML X 3 AMP KLINOS,58.73,Insuaminca
ACIDO FOLICO 400MCG X 100 TAB NATURAL SYSTEMS,68.32,Insuaminca
ACIDO FOLICO 5MG FRASCO X 60 TAB ANGELUS,25.46,Insuaminca
ACIDO FOLICO 5MG X 10 TAB CAJA X 10 BLISTER BALAXI,25.46,Insuaminca
ACIDO FOLICO 5MG X 10 TAB CAJA X 10 BLISTER CAPLIN POINT,25.46,Insuaminca
ACIDO FOLICO 5MG X 10 TAB MEYER,7.21,Insuaminca
ACIDO FOLICO 5MG X 30 TAB MEYER,17.82,Insuaminca
ACIDO FOLICO 5MG X 30TAB PLUSANDEX,8.74,Insuaminca
ACIDO FOLICO 5MG X10TAB CAJA X 10 BLISTER BRIXMEDIC,25.46,Insuaminca
ACIDO FOLICO AMP 10MG/2ML I.M-I.V CAJA X 10 AMP DISTRILAB,152.77,Insuaminca
ACIDO FOLICO JBE X 120ML DISFARIQ,20.37,Insuaminca
ACIDO FUSIDICO 2% CREMA TOPICA X 20 GR INMENOL,46.25,Insuaminca
ACIDO IBANDRONATO 150MG X 1 TAB REMENY,16.97,Insuaminca
ACIDO SALICILICO 6% UNGÜENTO X 20GR UNILINK,29.7,Insuaminca
ACIDO TRANEXAMIC 500MG/5ML I.V. CAJA X 5 AMP ALEYMEDIC,63.23,Insuaminca
ACIDO TRANEXAMICO 500 X 10 TAB CAJA X 10 BLISTER JMW,254.61,Insuaminca
ACIDO TRANEXAMICO 500MG X 10TAB KMPLUS,29.28,Insuaminca
ACIDO TRANEXAMICO AMP 500MG/5ML I.V CAJA X 5 AMP JUVENCIA,48.8,Insuaminca
ACIDO URSODESOXICOLICO 300MG X 30 TAB NIO PHARMACEUTICAL,165.5,Insuaminca
ACIDO VALPROICO 500 MG X 10 TAB CAJA X 10 BLISTER JMW,144.28,Insuaminca
ACIDO VALPROICO 500MG X 10 TAB CAJA POR 10 BLISTER LAND,140.04,Insuaminca
ACIDO VALPROICO 500MG X 30 TAB CLEO,42.44,Insuaminca
ACIDO VALPROICO 500MG X 30 TAB MEDRIKHA,36.92,Insuaminca
ACIDO VALPROICO JBE 250MG/5ML X 120ML JMW,40.74,Insuaminca
ACITRON-D X 30 CAP LIBRE DE GLUTEN PRIMAVERA,58.14,Insuaminca
ACLER 150MG X 1 TAB (ACIDO IBANDRONICO) MCK,26.31,Insuaminca
ACONDICIONADOR DOVE OLEO NUTRICION X 400ML (CABELLO SECO),43.32,Insuaminca
ACONDICIONADOR DOVE RECONSTRUCCION COMPLETA X 400ML (CABELLO DAÑADO),43.32,Insuaminca
ACONDICIONADOR DRENE 3 MINUTOS REVITALIZACION PROFUNDA X 200ML FISA,19.2,Insuaminca
ACONDICIONADOR DRENE CABELLO QUEBRADIZO X 370ML FISA,29.04,Insuaminca
ACONDICIONADOR DRENE CABELLO RIZADO X 370ML FISA,29.04,Insuaminca
ACONDICIONADOR DRENE CABELLO SECO MALTRATADO X 200ML FISA,17.72,Insuaminca
ACONDICIONADOR E. NIGHT HIDRATACION Y VITALIDAD CACAO Y FRUTOS ROJOS 365ML FISA,27.57,Insuaminca
ACONDICIONADOR E. NIGHT P/CABELLO RIZADO U ONDULADO TE VERDE Y ALOE 365ML FISA,27.57,Insuaminca
ACONDICIONADOR E. NIGHT P/CABELLO SECO MALTRATADO EXTRACTOS DE FRUTAS 210ML FISA,16.15,Insuaminca
ACONDICIONADOR E. NIGHT P/CABELLO SECO MALTRATADO EXTRACTOS DE FRUTAS 365ML FISA,27.57,Insuaminca
ACONDICIONADOR E. NIGHT REPARACION PROFUNDA CEREALES MULTIACTIVOS 365ML FISA,27.57,Insuaminca
ACONDICIONADOR SEDAL CERAMIDAS X 190ML,17.23,Insuaminca
ACONDICIONADOR SEDAL CERAMIDAS X 340ML,32.0,Insuaminca
ACONDICIONADOR SEDAL RIZOS DEFINIDOS X 340ML,31.01,Insuaminca
"ACTIVA X 21 GRAGEAS (LEVONORGESTREL 0,15MG -ETINILESTRADIOL 0,03MG) BCN",31.4,Insuaminca
ACTIVITON EXTREME  X30 CAPS (GINSENG/VITAMINAS/MINERALES)PHARMATECH,53.89,Insuaminca
ACUAGEL GEL PARA ULTRASONIDO X 250 ML SULCAGEL,24.12,Insuaminca
ADELGASEN (ADELGAZANTE) 400MG X 30 CAP HERBAPLANT,36.49,Insuaminca
ADEMINA CREMA DERMO PROTECTORA 3E X 60G ETIFAR,38.0,Insuaminca
ADEMINA KIDS REVITALIZANTE CAPILAR X 200ML ETIFAR,21.17,Insuaminca
ADEMINA SOLUCION JABONOSA ANTIBACTERIAL 190ML ETIFAR,17.13,Insuaminca
ADHESIVO AIROPLAST 1.25CM X 500CM PHARMAPLAST,8.86,Insuaminca
"ADHESIVO AIROPLAST 2,5CM X 500CM PHARMAPLAST",27.07,Insuaminca
ADHESIVO CINTA DE OXIDO DE ZINC BLANCO 1.25 CM X 5 YDS CAJA X 12 UDS GIDAGUS,116.66,Insuaminca
ADHESIVO CINTA DE OXIDO DE ZINC PIEL 1.25 CM X 5 YDS CAJA X 12 UDS GIDAGUS,127.0,Insuaminca
ADHESIVO CINTA DE OXIDO DE ZINC PIEL 5 CM X 5 YDS CAJA X 6 UDS GIDAGUS,177.21,Insuaminca
ADHESIVO DE TELA 1.25CM X 9.1M ZUVISS,17.72,Insuaminca
ADHESIVO DE TELA 2.5CM X 9.1M ZUVISS,24.61,Insuaminca
ADHESIVO NON-WOVEN 1.25CM X 9.1M COLOR PIEL (HIPOALERGENICO) ZUVISS,14.77,Insuaminca
ADHESIVO NON-WOVEN 2.5CM X 9.1M COLOR PIEL (HIPOALERGENICO) ZUVISS,21.66,Insuaminca
ADHESIVO PHARMAMED 1.25CM X 455CM PHARMAPLAST,10.83,Insuaminca
"ADHESIVO PHARMAMED 2,5CM X 455CM PHARMAPLAST",14.77,Insuaminca
"ADHESIVO QUIRURGICO COLOR BLANCO 2,5 X 5 CM X 5 YDS CAJA X 12 UDS GIDAGUS",111.25,Insuaminca
"ADHESIVO QUIRURGICO COLOR PIEL 1,25 CM X 5 YDS CAJA X 24 UDS GIDAGUS",137.83,Insuaminca
"ADHESIVO QUIRURGICO COLOR PIEL 2,5 CM X 5 YDS CAJA X 12 UDS GIDAGUS",113.22,Insuaminca
ADHESIVO TRANSPARENTE 1.25CM X 9.1M ZUVISS,13.78,Insuaminca
ADHESIVO TRANSPARENTE 2.5CM X 9.1M ZUVISS,18.71,Insuaminca
ADHESIVO TRANSPARENTE 5CM X 9.1M ZUVISS,29.53,Insuaminca
ADOREM 500MG X 10 TAB (ACETAMINOFEN) SIEGFRIED,22.91,Insuaminca
ADRENALINA 1 MG/ 1 ML I.V/I.M.I.C. BLISTER X 10 AMP MEDEK PHARMA,46.68,Insuaminca
ADRENALINA 1MG/1ML BLISTER X 10 AMP JMW,33.95,Insuaminca
AEROCHAMBER ADULTO BIO-MERCY,130.7,Insuaminca
AEROCHAMBER PEDIATRICO BIO-MERCY,130.7,Insuaminca
AEROFLAT GOTAS X 20ML (SIMETICONA) COFASA,54.74,Insuaminca
AFEITADORA DESECHABLE SENSOR 3 SENSITIVE X 4 UNDS GILLETTE P&G,103.86,Insuaminca
AFEITADORA KODAK LADY 6 HOJILLAS X 2 UNDS,31.7,Insuaminca
AFEITADORA KODAK LADY PREMIUM RAZOR 5,86.83,Insuaminca
AFEITADORA KODAK MAX 2 HOJILLAS X 8 UNDS AZUL,30.32,Insuaminca
AFEITADORA KODAK MAX 2 HOJILLAS X 8 UNDS ROSADA,30.32,Insuaminca
AFEITADORA KODAK MAX 3 HOJILLAS X 5 UNDS,27.57,Insuaminca
AFEITADORA KODAK MAX PREMIUM RAZOR 5,62.02,Insuaminca
AFEITADORA KODAK MAX RISTRA 24UNDS 2HOJILLAS C/ALOE VERA,106.42,Insuaminca
AFEITADORA KODAK RISTRA 24 UNDS 2 HOJILLAS S/ALOE VERA,76.79,Insuaminca
AFEITADORA KODAK ULTRA 3 HOJILLAS / 21 REPUESTOS,89.59,Insuaminca
AFEITADORA KODAK ULTRA 3 HOJILLAS/3 REPUESTOS,33.08,Insuaminca
AFLAMAX 50MG X 10 TAB (DICLOFENAC POTASICO) OFTALMI,8.96,Insuaminca
AFOKLIN 10MG X 20 COMPR (ACIDO FOLICO) KLINOS,18.84,Insuaminca
AGAROL EMULSION LAXANTE FRASCO X 180ML (PICOSULFATO DE SODIO) ELEA,51.35,Insuaminca
AGAROL EMULSION LAXANTE FRASCO X 390ML (PICOSULFATO DE SODIO) ELEA,71.29,Insuaminca
AGUA DE ROSAS SPRAY X 120 ML RECETTEMARK,23.14,Insuaminca
AGUA DE ROSAS X 120ML FC PHARMA,31.5,Insuaminca
AGUA DESTILADA PARA INYECCION AMP X 5 ML PHARMAGEN,1.7,Insuaminca
AGUA ESTERIL DESTILADA X 10ML X 5 UNDS JMW,21.22,Insuaminca
AGUA MICELAR C/ ALOE VERA X 180CM3 CLARESS,60.55,Insuaminca
AGUA OXIGENADA 10 V/V AL 3% X 1000ML EL GUARDIAN,18.67,Insuaminca
"AGUA OXIGENADA 10 V/V AL 3% X 3, 785 (GALON) ML EL GUARDIAN",60.26,Insuaminca
AGUA OXIGENADA X  240 ML EL GUARDIAN,6.37,Insuaminca
AGUA OXIGENADA X 120 ML ALNA,3.82,Insuaminca
AGUA OXIGENADA X 120 ML EL GUARDIAN,4.67,Insuaminca
AGUA OXIGENADA X 240 ML ALNA,6.2,Insuaminca
AGUA OXIGENADA X 500 ML ALNA,9.51,Insuaminca
AGUA OXIGENADA X 500 ML EL GUARDIAN,10.18,Insuaminca
AGUA OXIGENADA X 950 ML ALNA,16.97,Insuaminca
"AIRFEN ADULTO 0,05% GOTAS NASALES 15 ML (OXIMETAZOLINA) COFASA",36.58,Insuaminca
"AIRFEN PEDIATRICO 0,025% GOTAS NASALES 15 ML (OXIMETAZOLINA) COFASA",36.58,Insuaminca
AIRON 10MG X 10 TAB (MONTELUKAST) OFTALMI,20.79,Insuaminca
AIRON 4MG X 10 TAB MASTICABLE PEDIATRICO OFTALMI,14.85,Insuaminca
AJO 400 MG X 90 CAP ARCO IRIS,43.28,Insuaminca
ALANTAMIDA CREMA CICATRIZANTE X 20 G SIEGFRIED,25.46,Insuaminca
ALBEL ALBENDAZOL 40MG/ML SUSP X 10 ML GEOLAB,7.64,Insuaminca
ALBENDAZOL 200MG X 10 TAB CAJA X 10 BLISTER MASTICABLE LAND,81.48,Insuaminca
ALBENDAZOL 200MG X 2 TAB LA SANTE,8.91,Insuaminca
ALBENDAZOL 200MG X 6 TAB LA SANTE,22.91,Insuaminca
ALBENDAZOL 200MG/5 SUSPENSION PED X 10ML CAMBRIDGE,6.79,Insuaminca
ALBENDAZOL 400MG X 3 COMP GEOLAB,13.15,Insuaminca
ALBENDAZOL 400MG/10ML SUSP ORAL BOOZ,7.98,Insuaminca
ALBICAR 200MG X 2 TAB (ALBENDAZOL) ELMOR,6.37,Insuaminca
ALBICAR 200MG X 6 TAB (ALBENDAZOL) ELMOR,12.31,Insuaminca
"ALBISEC 166,66MG/33,33MG X 12 CAP VIVAX",150.22,Insuaminca
"ALBISEC ONE 133,33MG.+666,667MG. X6 TAB (ITRACONAZOL+SECNIDAZOL) VIVAX",168.89,Insuaminca
ALBUSYN 50 ML SOL INY I.V (ALBUMINA HUMANA 20%) SYNAPSE (REFRIGERADO),806.26,Insuaminca
ALCACHOFA + CENTELLA ASIATICA X 60 CAP (175MG + 175MG) CONTROL DE PESO WALIFE,43.28,Insuaminca
ALCACHOFA 175MG + CENTELLA ASIATICA 175MG  X30 CAP (CONTROL DE PESO) HERBAPLANT,36.49,Insuaminca
ALCACHOFA 300MG X 90 CAP ARCO IRIS,35.65,Insuaminca
ALCANFOR SOBRE X 10 G LYA,17.82,Insuaminca
ALCOHOL ABSOLUTO 1000ML BIOFARCO,64.67,Insuaminca
ALCOHOL ABSOLUTO 120ML BIOFARCO,19.94,Insuaminca
ALCOHOL ABSOLUTO 240ML BIOFARCO,32.67,Insuaminca
ALCOHOL ABSOLUTO 500ML BIOFARCO,48.8,Insuaminca
ALCOHOL ABSOLUTO 96% 240 ML LYA,29.7,Insuaminca
ALCOHOL ABSOLUTO SPRAY X 120ML RECETTEMARK,32.0,Insuaminca
ALCOHOL ABSOLUTO SPRAY X 240 ML RECETTEMARK,46.27,Insuaminca
ALCOHOL ABSOLUTO X 1 LT  RECETTEMARK,73.84,Insuaminca
ALCOHOL ABSOLUTO X 240 ML  RECETTEMARK,38.89,Insuaminca
ALCOHOL ABSOLUTO X 500 ML  RECETTEMARK,74.33,Insuaminca
ALCOHOL ANTISEPTICO (ABSOLUTO) 96% 120ML ALNA,6.96,Insuaminca
ALCOHOL ANTISEPTICO (ETILICO) 70% X 500ML UNIPHARMA,18.67,Insuaminca
ALCOHOL ANTISEPTICO 70% 120ML ALNA,5.6,Insuaminca
ALCOHOL ANTISEPTICO 70% 240ML ALNA,9.93,Insuaminca
ALCOHOL ANTISEPTICO 70% 500ML ALNA,18.16,Insuaminca
ALCOHOL ANTISEPTICO 70% 950ML ALNA,34.54,Insuaminca
ALCOHOL ANTISÉPTICO AL 70% X 60ML SPRAY  EL GUARDIAN,9.34,Insuaminca
ALCOHOL ANTISEPTICO SPRAY 70% 120ML ALNA,7.47,Insuaminca
ALCOHOL ANTSEPTICO (ABSOLUTO) 96% 240ML ALNA,12.22,Insuaminca
ALCOHOL EXT. (ABSOLUTO) 250 CM³ FSI,31.01,Insuaminca
ALCOHOL ISOPROPILICO 70% 1 LITRO UNIPHARMA,35.65,Insuaminca
ALCOHOL ISOPROPILICO 70% 240ML UNIPHARMA,10.18,Insuaminca
ALCOHOL ISOPROPILICO AL 70% 120 ML YODINE,5.09,Insuaminca
ALCOHOL ISOPROPILICO AL 70% 240 ML VITALITY-YODINE,8.91,Insuaminca
ALCOHOL ISOPROPILICO AL 70% 500 ML YODINE,16.55,Insuaminca
ALCOHOL ISOPROPILICO AL 70%SPRAY 500ML YODINE,21.22,Insuaminca
ALCOHOL ISOPROPILICO EN SPRAY  120 ML YODINE,12.31,Insuaminca
ALCOHOL YODADO X 120ML F.S.I,15.7,Insuaminca
ALCOHOL YODADO X 30ML LYA,20.37,Insuaminca
ALCOHOLANTISÉPTICO AI70% X 500 ML EL GUARDIAN,16.97,Insuaminca
