Descripción del Artículo,Precio Mayoreo,Proveedor
ACETAMINOFEN+TRAMADOL(325MG-37.5) X 30 TAB DAC55,41.41,Unipharma
ACETAMINOFEN +TRAMADOL 325 MG-37.5 MG X 10 TAB CALOX ,38.71,Unipharma
"ALPRAM 0,5MG X 30 TAB VALMORCA",38.95,Unipharma
ALPRAM 1MG X 30 TAB VALMORCA,55.6,Unipharma
ALPRAZOLAM 0.5MG X 30 TAB CALOX,24.9,Unipharma
ALPRAZOLAM 1MG X 30 TAB CALOX,35.91,Unipharma
ALPRAZOLAM 2MG (ALPROWISE) X 30 TAB,37.64,Unipharma
"ANSILAN 0,5MG X 30 COMPRIMIDOS (ALPRAZOLAN) MEGALABS",40.83,Unipharma
BROMAZEPAM 6MG X 30 COMPRIMIDOS,89.62,Unipharma
"CLONATRIL 0,5MG X 30 COMPRIMIDOS MEGALABS",49.37,Unipharma
CLONATRIL COMPDO 1MG X 30 ROWE MEGALABS,61.1,Unipharma
CLONZEP 0.5MG X 30 TAB VALMORCA,48.36,Unipharma
CLONZEP 2 MG X 30 TAB VALMORCA,81.51,Unipharma
GARDENAL 100MG X 30 COMP CALOX  ,88.39,Unipharma
MIDAZOLAM 15MG/3ML I.M/I.V X 1 AMP UNIPHARMA,72.39,Unipharma
TRACEVAL 325MG/37.5MG X 20 TAB VALMORCA,115.97,Unipharma
TRACEVAL 500MG/50MG X 20 TAB VALMORCA,136.53,Unipharma
TRAMADOL CLORHIDRATO 100MG/2ML AMP BIOSANO EL MORRO,19.83,Unipharma
VALPIZOP (ZOLPIDEM) 10MG X 20 TAB VALMORCA,57.04,Unipharma
ZOLPIDEX COMPDO 10MG X 10 ROWE MEGALABS,39.96,Unipharma
9 VIT INF I.V. MULTIVITAMINICA DPT,103.81,Unipharma
ABRETIA (ATOMOXETINA) 18 MG X 10 CAPS MEGALABS,202.11,Unipharma
ABVITOS SOL ORAL GOTAS X 30ML FARMA,70.94,Unipharma
ACEITE DE COCO X 30CC BIOFARCO,28.67,Unipharma
ACEITE MINERAL X 30CC BIOFARCO,19.98,Unipharma
ACET DE CIPROTERONA +ETINILESTRADIOL (DIANE) X 21 COMP GENERICO,38.95,Unipharma
ACETATO DE MEDROXIPROGESTERONA (PROVUNI) 10MG X 28 TAB  UNIPHARMA,112.78,Unipharma
ACETATO DE MEDROXIPROGESTERONA (PROVUNI) 5MG X 30 TAB  UNIPHARMA,70.65,Unipharma
ACETAMINOFEN 650 MG X 10 COM LA SANTE PHARMETIQUE,13.03,Unipharma
ACETAMINOFEN 650 MG X 10 COM SPEFAR,16.65,Unipharma
ACETAMINOFEN 750 MG X 10 COM SPEFAR,20.99,Unipharma
ACETAMINOFEN JBE PED150MG/5ML X 120ML LA SANTE PHARMETIQUE,34.02,Unipharma
ACETOBEN 100MG/5ML JARABE X 120ML RONAVA,42.71,Unipharma
ACEVAL (ACETAMINOFEN) 650MG X 10 TAB VALMORCA,20.41,Unipharma
ACICLOVIR 200MG X 100 TAB DISTRILAB,135.51,Unipharma
ACIDO BORICO 20GR SOBRE CHEMICALS,28.96,Unipharma
ACIDO FOLICO 10MG X 10 TAB (BLISTER) SM PHARMA,6.37,Unipharma
ACIDO FOLICO 10MG X 20 COMP GENERICO DE CALIDA,15.64,Unipharma
ACIDO FOLICO 10MG X 30 COMP KLINOS MEGALABS,30.55,Unipharma
ACIDO FOLICO 10MG X 30 TAB PLUS ANDEX,19.55,Unipharma
ACIDO FOLICO 10MG/2ML IV 10AMP DISTRILAB,239.61,Unipharma
ACIDO FOLICO 10MG/ML X 15 ML GOTAS KLINOS MEGALABS,53.86,Unipharma
ACIDO FOLICO 5MG X 30 COMP KLINOS MEGALABS,17.95,Unipharma
ACIDO FOLICO 5MG X 30 TAB PLUS ANDEX,14.62,Unipharma
ACIDO IBANDRONICO (ACLER)  150MG X 1 TAB CALOX,41.41,Unipharma
ACIDO VALPROICO JAB 200MG/5ML DISTRILAB,63.12,Unipharma
ACTIVA SEC PROTECTORES DIARIOS X 40 UND PHARSANA,23.6,Unipharma
ACTIVITON EXTREME X 30 CAP PHARMATECH,128.13,Unipharma
ACUTEN 500/25MG TAB X 20 FARMA,69.49,Unipharma
ADHE PAPEL BLANC. 2.54 X 4.57 CAJA X 12UN BRIUTCARE,127.99,Unipharma
ADHE PAPEL PIEL 2.54 X 4.57 CAJA X 12UN BRIUTCARE,153.61,Unipharma
ADRENALINA (EPINEFRINA) 1MG/1ML  I.V./I.M X1 AMP BIOSANO EL MORRO,5.94,Unipharma
AEROFLAT 80MG/ML X 20ML COFASA,83.39,Unipharma
AGUA OXIGENADA 240ML ALNA,10.42,Unipharma
AGUA OXIGENADA 500ML ALNA,15.93,Unipharma
AGUA OXIGENADA 950CC ALNA,26.64,Unipharma
AGUJA ESPINAL 26G PLUSMEDIC,16.22,Unipharma
AGUJA ESPINAL 27G JHC X 1 UND,16.79,Unipharma
AIRFEN ADULTOS GOTAS NASALES X 15ML COFASA,58.2,Unipharma
