Comercial Belloso,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Reporte Catálogo de Productos,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,,,,,,,,,,,
Cod. Art.,Descripción del Artículo,PRINCIPIO ACTIVO ,C. Prov.,Proveedor,Cod. Ind.,Precio Mayoreo,existencia,OFERTAS,DIAS DE CREDITO ,PEDIDO,,,,,,,,,,,,
1,A D VIT SUSP 240 ML                 ,VIT A/D/CALCIO,622,"MEYER PRODUCTOS TERAPEUTICOS, S.A. ",7592601100010,46.05,0,0,21,,,,,,,,,,,,,
25365,AARVIT-K INY IV/IM 10MG/ML X 10 CADU,,1495,"CADUX,C.A                          ",890608215012301,364.33,49,0.15,0,,,,,,,,,,,,,
14,HEPARINA SOD 1000 UI AMP X 1 B.G.   ,,542,"LABORATORIOS BIOGALENIC,C.A.       ",7592804000407,0.01,0,0,0,,,,,,,,,,,,,
23367,ABECAB 5 TAB 40 MG X 30             ,AMLODIPINA,1436,"INVERSIONES CURAZAITO, C.A.        ",7598055000425,33.22,454,0.3,35,,,,,,,,,,,,,
17769,ABRETIA CAP 10 MG X 10              ,ATOMOXETINA,240,"MEGALABS VZL, C.A.                 ",7591619520889,94.27,119,-,30,,,,,,,,,,,,,
17770,ABRETIA CAP 18 MG X 10              ,ATOMOXETINA,240,"MEGALABS VZL, C.A.                 ",7591619520896,114.65,335,-,30,,,,,,,,,,,,,
2386,ABVITOS SOL GTA PED X 30 ML         ,VIT A/D/C,1082,LABORATORIOS FARMA S.A             ,7591821102309,45.16,165,-,30,,,,,,,,,,,,,
40,ADALAT CAP 10 MG X 20               ,,168,"BAYER, S.A. *SCHERING*             ",7795320000290,0.01,0,0,0,,,,,,,,,,,,,
41,ADEL UNG X 50 G                     ,VIT A/D,517,PONCE & BENZO SUCR. C.A.           ,7591309003692,31.16,0,0,0,,,,,,,,,,,,,
46,EFFICORT CRM LIPOFILICA 0.127% X 30 ,,351,"LABORATORIOS GALDERMA VENEZUELA.,S.",3499320000659,0.01,0,0,0,,,,,,,,,,,,,
51,ANAFRANIL GRA 25 MG X 40            ,,718,"NOVARTIS DE VENEZUELA, S.A.        ",7590019030011,0.01,0,0,0,,,,,,,,,,,,,
24960,AC ACETILSALICILICO COM 81MG X 100 D,,1350,CASA DE REPRESENTACION CHEMICAL DAM,999,41.41,364,0.5,0,,,,,,,,,,,,,
26723,AC ACETILSALICILICO TAB 81 MG X 10  ,,1543,"VINCENTI INTERNACIONAL, C.A        ",8904187886490,10.95,177,-,0,,,,,,,,,,,,,
58,AFRIN SOL NSAL ADU X 15 ML          ,,41,"BAYER, S.A.                        ",7591099103404,0.01,0,0,0,,,,,,,,,,,,,
