Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,,Unnamed: 6,Unnamed: 7,Unnamed: 8,None.1,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
,,FECHA DEL PEDIDO:,,,VENDEDOR:,ING. JESUS EDUARDO TOVAR,,NUEVO INGRESO / DE INTERÉS,,,,,,,,,,,,,,,,,,,,,
,,,,,TELÉFONO:,0412-423.5961,,OFERTAS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TOTAL ESTIMADO $:,TOTAL  UNIDADES PEDIDAS:,TASA (Bs/$) HOY: 09/11/2022,TOTAL PEDIDO REFERECIAL EN Bs:,,,,,,,,,,,,,,,,,,,,,,,
,,,0,0,8.8292,0,,,,,,,,,,,,,,,,,,,,,,,
CODIGO CLIENTE:,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOMBRE DEL CLIENTE:,,,PRECIOS DEL:,2022-11-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTI.,CANTIDAD,DESCRIPCION PRODUCTO,PRECIO UNITARIO $, EQUIVALENTE EN BS,UNIDAD DE VENTA,MARCA,LOTE,FECHA DE VENCIMIENTO,CATEGORÍA,"UNIDAD DE 
EMPAQUE",CODIGO DE BARRA,SUB TOTAL PRODUCTOS EN Bs,SUB TOTAL PRODUCTOS EN $,,,,,,,,,,,,,,,,
D-0052,,ACEITE DE ALMENDRAS EXTRAFINO 30 ML,3.2,28.25344,FRASCO X 30 ML,FARMAGENIK,2754,08/2025,NACIONAL / IMPORTADO,,0112244301147,0,0,,,,,,,,,,,,,,,,
D-0053,,ACEITE DE RICINO EXTRAFINO 30 ML,3.39,29.930988000000003,FRASCO X 30 ML,FARMAGENIK,2469,09/2024,NACIONAL / IMPORTADO,,0112244301130,0,0,,,,,,,,,,,,,,,,
M-1847,,ACETAMINOFEN (ETAMIN) 500 MG X 100 TAB,2.73,24.103716,FRASCO X 100 TAB,JMW,SP525,11/2024,NACIONAL / IMPORTADO,,118904180211739,0,0,,,,,,,,,,,,,,,,
M-1848,,ACETAMINOFEN (ETAMIN) 500 MG X 50 TAB,1.49,13.155508,FRASCO X 50 TAB,JMW,SP521,11/2024,NACIONAL / IMPORTADO,,18904180211739,0,0,,,,,,,,,,,,,,,,
L-0035,,ACETAMINOFEN (PARACETAMOL)  500 MG TABLETAS,0.38,3.355096,BLISTER X 10 TAB,LAND,TP1300001,01/2025,NACIONAL / IMPORTADO,,7598008000083,0,0,,,,,,,,,,,,,,,,
M-1773,,"ACETAMINOFEN + TRAMADOL 325/37,5MG X 30 TAB",2.86,25.251511999999998,CAJA X 30 TAB,DAC,DAC22,10/2024,PSICOTRÓPICO / ESTUPEFACIENTE,1,7598578000384,0,0,,,,,,,,,,,,,,,,
M-1536,,ACETAMINOFEN 120 MG/5 ML X 120 ML JARABE PEDIATRICO,3.08,27.193936,FRASCO X 120 ML,COFASA,20358,08/2026,NACIONAL / IMPORTADO,,7591818132074,0,0,,,,,,,,,,,,,,,,
M-0691,,ACETAMINOFEN 150MG/5ML JARABE X 120 ML,2.55,22.51446,FRASCO X 120 ML,LA SANTÉ,3502154,08/2025,NACIONAL / IMPORTADO,,7592454003100,0,0,,,,,,,,,,,,,,,,
M-1539,,ACETAMINOFEN 325 MG + IBUPROFENO 200 MG + CAFEINA 40 MG X 10 TAB,1.05,9.270660000000001,BLISTER X 10 TAB,JMW,ATT2102,06/2024,NACIONAL / IMPORTADO,,18906047594443,0,0,,,,,,,,,,,,,,,,
M-1540,,ACETAMINOFEN 500 MG + TIOCOLCHICOSIDO 4 MG X 10 TAB,3.06,27.017352000000002,BLISTER X 10 TAB,JMW,ATT2103,08/2024,NACIONAL / IMPORTADO,,18906047594450,0,0,,,,,,,,,,,,,,,,
M-0903,,ACETAMINOFEN 650 MG X 10 COMPRIMIDOS ,1.25,11.0365,CAJA X 10 COMP,SPEFAR,332,02/2025,NACIONAL / IMPORTADO,,7590027001669,0,0,,,,,,,,,,,,,,,,
M-0223,,"ACETATO DE CIPROTERONA 2 MG + ETINILESTRADIOL 0,035 MG X 21 COMP (EQ. DIANE 35) ",2.21,19.512532,CAJA X 21 COMP,MABRA,4NA13,04/2023,NACIONAL / IMPORTADO,,7898505093107,0,0,,,,,,,,,,,,,,,,
M-1444,,ACEVAL (ACETAMINOFEN) 180 MG/ 5 ML X 120 ML SOLUCION ORAL USO PEDIATRICO,3.25,28.6949,FRASCO X 120 ML,VALMORCA,16,09/2024,NACIONAL / IMPORTADO,,7591020008839,0,0,,,,,,,,,,,,,,,,
M-1143,,ACEVAL (ACETAMINOFEN) 650 MG X 10 TAB,1.2,10.59504,CAJA X 10 TAB,VALMORCA,210,07/2026,NACIONAL / IMPORTADO,,7591020000611,0,0,,,,,,,,,,,,,,,,
L-0018,,ACICLOVIR 200 MG TABLETAS,1.11,9.800412000000001,BLISTER X 10 TAB,LAND,TA2190001,10/2024,NACIONAL / IMPORTADO,,7598008000090,0,0,,,,,,,,,,,,,,,,
M-0938,,ACICLOVIR 200 MG x 24 TABLETAS (ÉLTER),3.66,32.314872,CAJA X 24 TAB,LA SANTÉ,3257293,10/2023,NACIONAL / IMPORTADO,,7592454102001,0,0,,,,,,,,,,,,,,,,
M-1651,,ACIDO ACETILSALICILICO (SALICETIL) 100 MG X 10 COMP (EQ. ASPIRINA INFANTIL),0.1,0.88292,BLISTER X 10 COMP,BRASTERAPICA,11966,07/2023,NACIONAL / IMPORTADO,,7898100241897,0,0,,,,,,,,,,,,,,,,
L-0069,,ACIDO ACETILSALICILICO X 100 TAB,4.88,43.086496,FRASCO X 100 TAB,LAND,SE0263,11/2024,NACIONAL / IMPORTADO,,7598008000762,0,0,,,,,,,,,,,,,,,,
M-1837,,ACIDO FOLICO (CIDOFOL) 5 MG X 100 TAB,3.12,27.547104,FRASCO X 100 TAB,JMW ,SP507,11/2023,NACIONAL / IMPORTADO,,18904180211685,0,0,,,,,,,,,,,,,,,,
M-1838,,ACIDO FOLICO (CIDOFOL) 5 MG X 50 TAB,1.88,16.598896,FRASCO X 50 TAB,JMW ,SP505,11/2023,NACIONAL / IMPORTADO,,118904180211685,0,0,,,,,,,,,,,,,,,,
M-0845,,ACIDO FOLICO 10 MG X 20 TAB,0.88,7.769696000000001,CAJA X 20 TAB,PLUSANDEX,6407,04/2025,NACIONAL / IMPORTADO,,7594001101338,0,0,,,,,,,,,,,,,,,,
M-1394,,ACIDO TRANEXAMICO 500 MG/ 5 ML AMP IV,1.37,12.096004,AMPOLLA,JMW,AI20192,08/2023,NACIONAL / IMPORTADO,,8906089281298,0,0,,,,,,,,,,,,,,,,
M-1395,,ACIDO VALPROICO 250/5 ML X 120 ML,4.82,42.556744,FRASCO X 120 ML,JMW,AHL21078,06/2024,NACIONAL / IMPORTADO,,8906089281397,0,0,,,,,,,,,,,,,,,,
L-0056,,ACIDO VALPROICO 500 MG TABLETAS,1.55,13.685260000000001,CAJA X 10 TAB,LAND,TDI570003,01/2025,NACIONAL / IMPORTADO,,7598008000632,0,0,,,,,,,,,,,,,,,,
M-1830,,ACIFAR ANTIACIDO SABOR MENTA X 150 ML SUSPENSION,8.63,76.19599600000001,FRASCO X 150 ML,FARQUI,2202058,02/2026,NACIONAL / IMPORTADO,,7467922680018,0,0,,,,,,,,,,,,,,,,
M-1135,,"ADAPNE (ADAPALENO) 0,1 % X 30 GR GEL TOPICO (02/2023) ***OFERTA***",1.19,10.506748,TUBO X 30 GR,GLENMARK,10200559,02/2023,NACIONAL / IMPORTADO,,8904091148011,0,0,,,,,,,,,,,,,,,,
M-1831,,ADRENALINA 1 MG/ 1 ML AMP SC-IM-IV,0.47,4.149724,AMPOLLA,JMW,AA101,08/2023,NACIONAL / IMPORTADO,,30199,0,0,,,,,,,,,,,,,,,,
M-0385,,AEROFLAT (SIMETICONA) 80MG/ML GOTAS,6.15,54.299580000000006,FRASCO 20 ML,COFASA,20254,07/2024,NACIONAL / IMPORTADO,,7591818210406,0,0,,,,,,,,,,,,,,,,
M-0473,,AFLAMAX 50 MG X 10 TAB,1.39,12.272587999999999,CAJA X 10 TAB,OFTALMI,I082963,08/2024,NACIONAL / IMPORTADO,,7591196007186,0,0,,,,,,,,,,,,,,,,
M-0846,,AFLAMAX 50 MG X 20 TAB,2.53,22.337875999999998,CAJA X 20 TAB,OFTALMI,I072850,07/2024,NACIONAL / IMPORTADO,,7591196004451,0,0,,,,,,,,,,,,,,,,
M-1747,,AGUA ESTERIL PARA DILUIR X 500 ML,1.95,17.21694,FRASCO,BC GROUP,21101005,10/2024,NACIONAL / IMPORTADO,,7597767000921,0,0,,,,,,,,,,,,,,,,
M-1666,,AGUA ESTERIL PARA INYECCION X 10 ML AMPOLLA,0.52,4.591184,AMPOLLA,JMW,21220009E,08/2025,NACIONAL / IMPORTADO,,203571228310,0,0,,,,,,,,,,,,,,,,
V-0002,,AGUA MINERAL BIENESTAR 600 ML,5.96,52.622032,CAJA X 20 UNIDADES,BIENESTAR,,,NACIONAL / IMPORTADO,,614143290732,0,0,,,,,,,,,,,,,,,,
Q-007,,AGUJA HIPODERMICA 19 X 1 CAJA X 100,2.438181818181818,21.52719490909091,CAJA X 100,IM-SUMEDICAL,,,MÉDICO / QUIRÚRGICO,100,652931969217,0,0,,,,,,,,,,,,,,,,
Q-010,,AGUJA HIPODERMICA 20 X 1 1/2 CAJA X 100,2.438181818181818,21.52719490909091,CAJA X 100,IM-SUMEDICAL,,,MÉDICO / QUIRÚRGICO,100,652931969248,0,0,,,,,,,,,,,,,,,,
Q-009,,AGUJA HIPODERMICA 20 X 1 CAJA X 100,2.438181818181818,21.52719490909091,CAJA X 100,IM-SUMEDICAL,,,MÉDICO / QUIRÚRGICO,100,652931969231,0,0,,,,,,,,,,,,,,,,
Q-016,,AGUJA HIPODERMICA 26 X 1/2 CAJA X 100,2.438181818181818,21.52719490909091,CAJA X 100,IM-SUMEDICAL,,,MÉDICO / QUIRÚRGICO,100,652931969323,0,0,,,,,,,,,,,,,,,,
Q-018,,AGUJA HIPODERMICA 30 X 1/2 CAJAX100,2.44,21.543248,CAJA X 100,IM-SUMEDICAL,,,MÉDICO / QUIRÚRGICO,100,652931969347,0,0,,,,,,,,,,,,,,,,
M-0749,,"AIRFEN ADULTO 0,05% SOL X 15 ML",4.3,37.965559999999996,FRASCO X 15 ML,COFASA,20301,08/2025,NACIONAL / IMPORTADO,,7591818111017,0,0,,,,,,,,,,,,,,,,
M-0562,,"AIRFEN INFANTIL 0,025% SOL. X 15 ML",3.23,28.518316,FRASCO 15 ML,COFASA,20251,07/2025,NACIONAL / IMPORTADO,,7591818111024,0,0,,,,,,,,,,,,,,,,
M-1866,,AIRON (MONTELUKAST) 4 MG X 30 TAB MASTICABLES PEDIATRICO,4.9,43.26308,CAJA X 30 TAB,OFTALMI,I072926,07/2024,NACIONAL / IMPORTADO,,7591196002945,0,0,,,,,,,,,,,,,,,,
M-0555,,AIRON (MONTELUKAST) 5 MG X 10 TAB MASTICABLES PEDIATRICO,2.16,19.071072,CAJA X 10 TAB,OFTALMI,I052595,05/2024,NACIONAL / IMPORTADO,,7591196002549,0,0,,,,,,,,,,,,,,,,
M-0573,,ALBENDAZOL 200MG X 2 TAB,0.66,5.827272000000001,CAJA X 2 TAB,PLUSANDEX,6532,02/2024,NACIONAL / IMPORTADO,,7594001100263,0,0,,,,,,,,,,,,,,,,
D-0105,,ALCOHOL ANTISEPTICO AL 70% EN SPRAY X 180 ML,2.94,25.957848,FRASCO X 180 ML,LAB VINCENTI,220090,03/2024,NACIONAL / IMPORTADO,,7592782000345,0,0,,,,,,,,,,,,,,,,
D-0076,,ALCOHOL ISOPROPILICO AL 70% X 1LT ,4.29,37.877268,FRASCO X 1 LT,KENELI ACTIVE,20064,12/2024,NACIONAL / IMPORTADO,,,0,0,,,,,,,,,,,,,,,,
M-0684,,"ALFADYN (BRIMONIDINA TARTRATO) 0,20% SOLUCION OFTALMICA X 5 ML",6.54,57.742968000000005,FRASCO X 5 ML,OFTALMI,032932,03/2024,NACIONAL / IMPORTADO,,7591196003430,0,0,,,,,,,,,,,,,,,,
Q-123,,ALGODÓN 500GR ,3.9799999999999986,35.14021599999999,ROLLO,IM-SUMEDICAL,,,MÉDICO / QUIRÚRGICO,1,707273544483,0,0,,,,,,,,,,,,,,,,
M-1748,,ALOPURINOL 100 MG X 10 TAB,0.74,6.533608,BLISTER X 10 TAB,JMW,AUT2101,10/2024,NACIONAL / IMPORTADO,,18906047594900,0,0,,,,,,,,,,,,,,,,
M-1152,,"ALPRAM 0,5 MG X 30 TAB",2.85,25.163220000000003,CAJA X 30 TAB,VALMORCA,313,05/2027,PSICOTRÓPICO / ESTUPEFACIENTE,1,7591020005296,0,0,,,,,,,,,,,,,,,,
M-1153,,ALPRAM 1 MG X 30 TAB,4.07,35.934844000000005,CAJA X 30 TAB,VALMORCA,465,05/2026,PSICOTRÓPICO / ESTUPEFACIENTE,1,7591020005302,0,0,,,,,,,,,,,,,,,,
M-1154,,ALPRAM 2 MG X 30 TAB,5.56,49.090351999999996,CAJA X 30 TAB,VALMORCA,350,04/2026,PSICOTRÓPICO / ESTUPEFACIENTE,1,7591020005319,0,0,,,,,,,,,,,,,,,,
M-1828,,ALPRAZOLAM 1 MG X 30 COMP,2.08,18.364736,CAJA X 30 COMP,DAC,DAC01,10/2024,PSICOTRÓPICO / ESTUPEFACIENTE,1,7598578000391,0,0,,,,,,,,,,,,,,,,
M-1523,,ALPRAZOLAM 1 MG X 30 COMP,3.06,27.017352000000002,CAJA X 30 COMP,ATHENA,ROU10,08/2025,PSICOTRÓPICO / ESTUPEFACIENTE,1,7730932391060,0,0,,,,,,,,,,,,,,,,
M-1231,,AMBIODIPINA (AMLODIPINA) 10 MG TABLETAS,0.24,2.119008,BLISTER X 10 TAB,BIOVENEZUELA,ADP001,09/2023,NACIONAL / IMPORTADO,,28904030979311,0,0,,,,,,,,,,,,,,,,
M-0608,,AMBROXOL 15 MG/5ML JBE X 120 ML PEDIATRICO  (ÉLTER),3.16,27.900272,FRASCO X 120 ML,LA SANTÉ,3501987,08/2024,NACIONAL / IMPORTADO,,75924541202031,0,0,,,,,,,,,,,,,,,,
M-0675,,AMBROXOL 30MG/5ML JBE X 120 ML ADULTO (ELTER),3.72,32.844624,FRASCO X 120 ML,LA SANTÉ,3500887,03/2024,NACIONAL / IMPORTADO,,7592454120302,0,0,,,,,,,,,,,,,,,,
M-0208,,AMIKACINA 100MG AMPOLLA,0.68,6.003856000000001,AMPOLLA,BIOSANO,20063086,06/2023,NACIONAL / IMPORTADO,,7800061031103,0,0,,,,,,,,,,,,,,,,
M-1707,,AMINOFILINA (AMINOFUNI) 250 MG/ 10ML X 10 ML AMPOLLA,1.17,10.330164,AMPOLLA,UNIPHARMA,29A21001,08/2024,NACIONAL / IMPORTADO,,7598852000611,0,0,,,,,,,,,,,,,,,,
