Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
,,,,,,,,,,,Total Pedido Unidad,Total Pedido Bs
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,0,0
Código,Codigo de Barras,Descripción del Material,Principio activo ,Laboratorio,Existencia,   Precio ,F.Venc ,Dcto,Crédito ,Precio Final ,Pedido,Bs. Pedido 
118036,7269144920312,NUVICORT-A TRIAMC ACETONID X 5ML 1 VIAL,,"NUVILLE,C.A",178,188.17,30.10.2024,"6 UNDS  6%, 12 UND 7% Y 24 UND 8%",35 DÍAS,188.17,,0
117949,7592946005711,ALCACHOFA X 90 CAPSULAS,,ARCO IRIS LABORATORI,121,85.71,30.03.2025,,28 DÍAS,85.71,,0
117493,7592946005742,APETININ PEDIATRICO 240 ML,,ARCO IRIS LABORATORI,49,92.97,30.07.2024,,28 DÍAS,92.97,,0
116183,7592946000013,ARTRISAN 300MG X 90 CAPSULAS,MENTHA PIPERITA; PETIVERIA ALLIACEA; SMILAX OFFICINALIS; UNCARIA TOMENTOSA,ARCO IRIS LABORATORI,62,85.71,28.02.2024,,28 DÍAS,85.71,,0
115587,7592946168560,BERRO 240 ML,,ARCO IRIS LABORATORI,52,103.09,30.03.2024,,28 DÍAS,103.09,,0
115589,7592946007104,CASTAÑO DE INDIAS X 60 CAPSULAS,,ARCO IRIS LABORATORI,85,142.86,30.05.2025,,28 DÍAS,142.86,,0
115590,7592946168324,CENTELLA CON ALCACHOFA X 90 CAPS,*CENTELLA ASIATICA*,ARCO IRIS LABORATORI,99,142.86,30.07.2025,,28 DÍAS,142.86,,0
115584,7592946005704,CENTELLASAN X 90 CAPSULAS,*CENTELLA ASIATICA*,ARCO IRIS LABORATORI,622,142.86,30.06.2025,,28 DÍAS,142.86,,0
115586,7592946168553,CLORURO DE MAGNESIO 240 ML,CLORURO DE BENZALCONIO; POLIETILENO,ARCO IRIS LABORATORI,43,105.19,30.06.2024,,28 DÍAS,105.19,,0
115585,7592946169697,COLAGENO CON VITAMINA C X 60 CAP,COLÁGENO,ARCO IRIS LABORATORI,145,148.03,30.06.2024,,28 DÍAS,148.03,,0
115783,7592946064244,ESTIN JARABE 240 ML,,ARCO IRIS LABORATORI,35,99.47,30.03.2024,,28 DÍAS,99.47,,0
116185,7592946150633,EUCAMIEL 120ML JARABE,,ARCO IRIS LABORATORI,48,66.74,28.02.2024,,28 DÍAS,66.74,,0
115583,7592946005988,GINKO BILOBA X 60 CAPSULAS,,ARCO IRIS LABORATORI,125,142.86,30.05.2024,,28 DÍAS,142.86,,0
115582,7592946006022,GINSENG X 60 CAPSULAS,PANAX GINSENG,ARCO IRIS LABORATORI,11,142.86,30.06.2024,,28 DÍAS,142.86,,0
115581,7592946169758,GLUCOSAMINA X 60 CAPSULAS,GLUCOSAMINA,ARCO IRIS LABORATORI,193,145.1,30.06.2024,,28 DÍAS,145.1,,0
115576,7592946056003,JENGIBRE MIEL 120 ML,,ARCO IRIS LABORATORI,214,92.21,30.07.2024,,28 DÍAS,92.21,,0
