Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
alterno,,nombre,precio,,
092019,,BETAGRANULOS CREMA TUBO X 60 GR,207.09,0.0,
032123,,BONAVEN AVENA BARRA X 120 GR,198.9,0.0,
032122,,BONAVEN LOCIÓN FCO X 120 ML,207.09,0.0,
930242,,CALCIBON NATAL FORTE TAB X 30 FARMA,128.44,0.0,
933629,,CALPAL D  NATAL TAB REC X 30 BIOTECH,83.98,0.0,
002466,,CEPIN CREMA X 50 GR,151,0.0,
933607,,EKICAL ALIM LIQUIDO SUSP X 120 ML,74.1,0.0,
031379,,EMOLIN NEO LOCIÓN X 240 ML,313.56,0.0,
030798,,HIDRIBET 5 % LOCION FCO X 125 ML,160.29,0.0,
007989,,KIDCAL SUSP TUTTI-FRUTTI X 180ML,116.09,0.0,
933127,,LISIN-BE ALIMENTO LIQUIDO FCO X 120 ML,72.87,0.0,
933321,,MAGALEX 100MG  CAP X 30 (MAGNESIO),108.68,0.0,
013811,,UMBRELLA KIDS WP X 120 GR SPF 50,136.53,0.0,
931228,,A CICLOKAN 500 MG/5 ML X 1 AMP,60.84,0.0,
090407,,A CITICOLINA 500MG/2ML (CIATAL) X 1 MEYE,19.37,0.0,
006927,,A DECOBEL AMP 8MG/2ML X 2 ML VIAL,34.03,0.0,
092335,,A KELAC 30 MG/ML 1ML X 3 AMP (KETOROLAC),78.39,0.0,
011326,,A KETOPROFENO I.M 100 MG/2 ML X 2 AMP GV,51.2,0.0,
009730,,A TRIAMCINOLONA-ACETONIDO 10MG/1ML X 1,73.85,0.0,
012860,,A VITAMINA B12 1 ML X 3 AMP KLINOS,93.6,0.0,
009242,,A VITAMINA C 100MG/ML  X 3 AMP  5ML KLIN,93.6,0.0,
030258,,ACEITE DE ALMENDRAS X 30 ML LYA,16,0.0,
932055,,ACEITE DE RICINO  X 30 ML LYA,21.5,0.0,
927953,,ACEITE MINERAL X 30 ML LYA,16,0.0,
923094,,ACETAB 250 MG X 20 TAB,95.76,0.0,
928588,,ACETAMINOFEN 1000 MG COMP X10 SPEFAR,43.82,0.0,
007538,,ACETAMINOFEN 150MG/5ML JBE X 120 ML ELTE,36.55,0.0,
007537,,ACETAMINOFEN 500 MG TAB X 20 LA SANTE,21.08,0.0,
008858,,ACETAMINOFEN 500MG X 10 COMP GENVEN,10.77,0.0,
012841,,ACETAMINOFEN 500MG X 20 TAB QUIMFAR,19.07,0.0,
009046,,ACETAMINOFEN 650 MG X 10 COMP GENVEN,9.28,0.0,
012603,,ACETAMINOFEN 650 MG X 30 COMP GENVEN,25.66,0.0,
929116,,ACETAMINOFEN 650MG DISP TAB X 100 LA SAN,93.75,0.0,
933181,,ACETAMINOFEN 650MG X 10 TAB PLUSANDEX,11.15,0.0,
929223,,ACETAMINOFEN COMP 750 MG X10 SPEFAR,14.85,0.0,
035296,,ACETAMINOFEN SUSP 120MG/5MLX120ML QF,34.94,0.0,
011213,,ACETAMINOFEN+CLOF+CAFEINA X 6 COMP SPEFA,20,0.0,
933415,,ACETOBEN 100MG/5ML JBE X 120 ML,55.05,0.0,
007863,,ACICLOR 200MG/5ML PPS X 60 ML,72.88,0.0,
008876,,ACICLOR 5% CREMA X 10 GR GENVEN,55.32,0.0,
003203,,ACICLOR A.P. COMP. 1 GR. X 10.  LETI,135.6,0.0,
931493,,ACIDO ACETILSALICILICO 81MG X 30 COMP SP,38.9,0.0,
011583,,ACIDO FOLICO 10 MG X 20 TAB PLUSANDEX,13.49,0.0,
927937,,ACIDO FOLICO 10 MG X 30 TAB DALIOL,17.48,0.0,
010703,,ACIDO FOLICO 10 MG X 30 TAB PLUSANDEX,19.59,0.0,
933596,,ACIDO FOLICO 10MG PAC X 20+20 TAB (NONAF,20,0.0,OFERTA PAC 40 TABLETAS
933597,,ACIDO FOLICO 10MG PAC X 30+20 TAB NONAFO,27,0.0,OFERTA PAC 50 TABLETAS
930697,,ACIDO FOLICO 5 MG X 30 COMP KLINOS,11.7,0.0,
006077,,ACUTEN 500-25MG TAB X 20,85.22,0.0,
925645,,AFLAMAX 50MG  X 10 TAB,7.63,0.0,
930805,,AFLAMAX 50MG. DISP. 25 BLISTER X 5 TAB,125.71,0.0,
600003,,"AIRFEN GOT 0,025% SOL X 15 ML PED",88.39,0.0,
004339,,"AIRFEN GOT 0,05% SOL X 15 ML ADULTO",88.39,0.0,
092529,,AIRON 10 MG X 10 TAB REC,30.97,0.0,
030092,,AIRON 10 MG X 30 TAB REC,66.65,0.0,
091051,,AIRON 4 MG X 30 TAB MAST,52.18,0.0,
001761,,ALANTAMIDA 0.05%-0.4% CREMA X 20GR,53.09,0.0,
031473,,ALBENDAZOL 200 MG TAB X 2 PLUSANDEX,10.37,0.0,
900900,,ALBENDAZOL 200 MG TAB X 6 PLUSANDEX,17.66,0.0,
006546,,ALBENDAZOL 200 MG X 2 COMP (HELAL),16.8,0.0,
006902,,ALBENDAZOL 400 MG SUSP X 5 ML (HELAL),29.25,0.0,
923901,,ALBENDAZOL 400MG/10ML X 10ML  PLUSAN,17.91,0.0,
009807,,ALBICAR 200 MG X 2 TAB,12.36,0.0,
009782,,ALBICAR 200 MG X 6 TAB,23.66,0.0,
032590,,ALBISEC 166.66 MG/33.33 MG X 12 CAP,145.2,0.0,
009947,,ALCACHOFA 300MG X 90 CAP ARCO IRIS,46.62,0.0,
930954,,ALCANFOR PAPELETA X 10 GR LYA,19.55,0.0,
009616,,ALERGOT 0.05% SOL. OFT.  X 5 ML,69.32,0.0,
000365,,"ALFADYN 0,2% SOL OFT X 5  ML GOT",85.7,0.0,
006099,,ALIVAX FORTE 650 MG X 10 CAPS,16.84,0.0,
933622,,ALIVAX FORTE 650MG X 25 BLISTER X 5 CAPS,180.38,0.0,
901560,,ALIVERIUM 100MG+300MG X 10 CAPS BLANDA,59.43,0.0,
933016,,"ALIVET 125MG-0,5MG/5ML JBE X120ML LETI",45.51,0.0,
930042,,ALIVET LIMON GRAN 10 GR X 6 SOBRES,78.29,0.0,
009467,,ALIVETFA X 20  COMP REC,91.57,0.0,
928593,,ALIVETNOC FORTE 10G GRAN X 6 SOB,63.64,0.0,
901159,,ALIVIAMED CREMA X 50 GR LYA,25.83,0.0,
923644,,ALIVIAMED GEL ROLLON X 25 GR LYA,17.77,0.0,
011422,,ALLERFEX 120 MG X 10 TAB REC (FEXOFENADI,50.91,0.0,
011208,,ALLIXON NARANJA X 240ML,34.65,0.0,
919699,,ALLOPURINOL 100MG X 30 TAB,40.01,0.0,
931020,,ALRES FORTE SOBRE GRANULADO X 6,62.16,0.0,
933445,,ALSART 160 MG X 10 TAB (VALSARTAN),48.41,0.0,
933417,,ALSART 80 MG X 10 TAB (VALSARTAN),22.54,0.0,OFERTA VCTO 04/2023
933418,,ALSART 80 MG X 30 TAB (VALSARTAN),73.45,0.0,
929782,,ALUMBRE PV PAPELETA X 20 GR LYA,11.8,0.0,
000119,,ALURON 100 MG X 30 TAB,65.06,0.0,
926860,,AMBROXOL 15 MG/5ML JBE PED X120 ML COLME,39.3,0.0,
012353,,AMITAFEN FORTE 650 MG X 14 TAB,27.9,0.0,
930854,,AMLODIPINA 10 MG X 20 TAB KIMICEG,10.9,0.0,
932656,,AMLODIPINA 10 MG X 30 COMP GENVEN,20.56,0.0,
012054,,AMLODIPINA 10MG X 30 TAB CALOX,32.79,0.0,
500154,,AMLODIPINA 5MG X 30 TAB (AMIPINA) QUIMFA,15.96,0.0,
008850,,AMOXICILINA + AC CLAV 500/125MG X 10 TAB,76.47,0.0,
001069,,AMOXICILINA + AC CLAV 875/125MG X 14 TAB,105.89,0.0,
933026,,AMOXICILINA 250MG/5ML PPS X 45 ML SPEFAR,47.16,0.0,
919782,,AMOXICILINA+AC.CLAV 250-62.5MG/5MLX 60ML,70.25,0.0,
000867,,AMOXIDUO 750 MG SUSP X 70 ML,66.07,0.0,
001481,,AMOXIDUO 875 MG X 14 COMP,131.04,0.0,
090058,,AMPICILINA 250MG/5ML PV/SUSP X 60 ML ELT,35.85,0.0,
923657,,ANALPER CAF 500MG-40MG TAB X 10 LA SANTE,18.28,0.0,
