Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
RIF: J-50050095-5,,,,,,,,,,,
0.1,,,,,,,,,,,
INVENTARIO AL: 16/11/2022,,,,,,,,,,,
Código,Descripción,Marca,PVP,Divisa,PRECIO,Pedido,Total,Columna1,,,
987,9 VIT INFUS MULTI VIT SOL.ESTERIL (I.V),DROVNPLUS,62.92,6.679405520169851,6.0114649681528665,,0,,,,
2244,9-VIT EFERVESCENTE SABOR NARANJA X 20,DROVNPLUS,85.71,9.098726114649681,8.188853503184713,,0,,,,
1110,ACEITE CREMOSO DE ARNICA 250ML,RHELEN,35.23,3.7399150743099785,3.3659235668789806,,0,,,,
863,ACEITE DE ALMENDRAS 30ML,LYA,19.88,2.110403397027601,1.8993630573248408,,0,,,,
1160,ACEITE DE COCO PRENSADO EN FRIO 30ML,LYA,15.45,1.6401273885350318,1.4761146496815287,,0,,,,
722,ACEITE DE RICINO 30ML,LYA,24.68,2.6199575371549892,2.3579617834394906,,0,,,,
864,ACEITE MINERAL 30ML,LYA,18.37,1.9501061571125267,1.755095541401274,,0,,,,
844,ACETA+IBUP+CAF 325/200/40MG BLISTX10TB,JMW,9.89,1.0498938428874736,0.9449044585987262,,0,,,,
845,ACETAMIN+TIOCOLCH 500/4MG BLIST X 10 TAB,JMW,28.73,3.0498938428874736,2.744904458598726,,0,,,,
3015,ACETAMINOFEN 120MG/5ML JARABE X 120ML,COFASA,25.29,2.684713375796178,2.41624203821656,,0,,,,
838,ACETAMINOFEN 120MG/5ML JARABE X120ML,QUIMFAR,19.5,2.070063694267516,1.8630573248407645,,0,,,,
150,ACETAMINOFEN 500MG BLISTER X10,CAPLIN POINT,2.73,0.2898089171974522,0.260828025477707,,0,,,,
3047,ACETAMINOFEN 500MG TAB X 20,ALESS,12.62,1.3397027600849256,1.2057324840764332,,0,,,,
643,ACETAMINOFEN 500MG X20 TAB,BIOMEDIC LAB,5.65,0.599787685774947,0.5398089171974523,,0,,,,
460,ACETAMINOFEN 500MGX 10 TAB,KMPLUS,4.05,0.42993630573248404,0.38694267515923564,,0,,,,
2261,ACETAMINOFEN 650MG BLIST X 10 TAB,JMW,5.18,0.5498938428874734,0.4949044585987261,,0,,,,
247,ACETAMINOFEN 650MG X 10 TAB,PLUS ANDEX,6.62,0.7027600849256901,0.6324840764331211,,0,,,,
10003,ACETAMINOFEN GOTAS 100MG/ML X 15ML,QUIMFAR,13.38,1.4203821656050957,1.278343949044586,,0,,,,
3046,ACETAMINOFEN180MG/5ML JARA PEDRIA 120ML,ALESS,29.48,3.129511677282378,2.81656050955414,,0,,,,
2256,ACETATO DE HIDROCORTISONA 10MGX15G,TEUTO,20.82,2.210191082802548,1.989171974522293,,0,,,,
654,ACETOBEN NF FCO. X 120ML,RONAVA,31.94,3.390658174097665,3.0515923566878986,,0,,,,
