Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,LISTADO ACTUALIZADO 10 DE NOVIEMBRE DE 2022,,
,,,,,,"Los precios están  sujetos a cambios sin previo aviso. Por lo tanto, los listados anteriores a este quedarán totalmente sin efecto.  
 ",,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
CODIGO,CODIGO DE BARRA,VENCIMIENTO,NOMBRE,PRECIO,$,LABORATORIO,PEDIDO,TOTAL PEDIDO
17627,7591619520889,2022-12-30 00:00:00,ABRETIA 10 MG X 10 TAB (MEGALABS)       ,105.76,11.84,LAB KLINOS                              ,,0
18820,7591619520896,2025-04-30 00:00:00,ABRETIA 18 MG X 10 CAP (MEGALABS)       ,128.62,14.4,LAB KLINOS                              ,,0
18184,7591616002142,2024-02-28 00:00:00,ACETAFEN FORTE SUSP X 120 ML (BIOFARCO) ,18.87,2.11,LAB BIOFARCO                            ,,0
18069,7590027001911,2022-12-30 00:00:00,ACETAM-CAFEINA-CLORF 500 MG X 6 TAB (SPE,11.66,1.31,LAB SPEFAR                              ,,0
17747,7590027002260,2022-12-30 00:00:00,ACETAMINOFEN 1000MG X 10 COMP (SPEFAR)  ,21.24,2.38,LAB SPEFAR                              ,,0
17064,7594000850855,2024-03-30 00:00:00,ACETAMINOFEN 120 MG X 100 ML (BIOQUIMICA,14.33,1.6,LAB BIOQUIMICA                          ,,0
14512,7592454003100,2025-03-30 00:00:00,ACETAMINOFEN 150 MG X 120 ML  (LA SANTE),22.28,2.49,LAB LA SANTE                            ,,0
17516,7703038065630,2022-12-30 00:00:00,ACETAMINOFEN 150 MG X 90 ML (LAPROFF)   ,20.27,2.27,HB HUMAN BIOSCIENCE                     ,,0
17067,7594000850824,2022-12-30 00:00:00,ACETAMINOFEN 180 MG X 120 ML (BIOQUIMICA,19.8,2.22,LAB BIOQUIMICA                          ,,0
18874,7597758000459,2024-01-30 00:00:00,ACETAMINOFEN 180MG/5ML X 120ML (ALESS)  ,28.22,3.16,ALESS PHARMACEUTICALS                   ,,0
14924,720524031105,2023-08-30 00:00:00,ACETAMINOFEN 500 MG X 100 TAB  (LATTAN) ,45.36,5.08,LAB LATTAN                              ,,0
17813,7592454003384,2024-03-30 00:00:00,ACETAMINOFEN 500 MG X 100 TAB (LA SANTE),64.68,7.24,LAB LA SANTE                            ,,0
17068,7594000850626,2022-12-30 00:00:00,ACETAMINOFEN 500 MG X 12 TAB (BIOQUIMICA,7.67,0.86,LAB BIOQUIMICA                          ,,0
18871,7597758000596,2025-01-30 00:00:00,ACETAMINOFEN 500 MG X 20 TAB (ALESS)    ,12.09,1.35,ALESS PHARMACEUTICALS                   ,,0
15067,7592454000031,2022-12-30 00:00:00,ACETAMINOFEN 500 MG X 20 TAB (LA SANTE) ,14.4,1.61,LAB LA SANTE                            ,,0
17069,7594000850633,2022-12-30 00:00:00,ACETAMINOFEN 500 MG X 24 TAB (BIOQUIMICA,13.02,1.46,LAB BIOQUIMICA                          ,,0
