Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOMBRE DEL CLIENTE:,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZONA:,,,,,,,,,,,,,,,,,,,,,,,,,,
,SICM:,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LISTA DE PRECIOS  12-11-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESCRIPCION,CODIGO,USD,-0.05,PEDIDO,TOTAL,,,,,,,,,,,,,,,,,,,,,,
PRODUCTOS CONTROLADOS,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACETAMINOFEN+TRAMADOL(325MG-37.5) X 30 TAB DAC55,7598578000384,2.86,2.717,,0,,,,,,,,,,,,,,,,,,,,,,
ACETAMINOFEN +TRAMADOL 325 MG-37.5 MG X 10 TAB CALOX ,7591519008494,2.67,2.54,,0,,,,,,,,,,,,,,,,,,,,,,
"ALPRAM 0,5MG X 30 TAB VALMORCA",7591020005296,2.69,2.5555,,0,,,,,,,,,,,,,,,,,,,,,,
ALPRAM 1MG X 30 TAB VALMORCA,7591020005302,3.84,3.6479999999999997,,0,,,,,,,,,,,,,,,,,,,,,,
ALPRAZOLAM 0.5MG X 30 TAB CALOX,7591519000467,1.72,1.634,,0,,,,,,,,,,,,,,,,,,,,,,
ALPRAZOLAM 1MG X 30 TAB CALOX,7591519001495,2.48,2.356,,0,,,,,,,,,,,,,,,,,,,,,,
ALPRAZOLAM 2MG (ALPROWISE) X 30 TAB,8906120311090,2.6,2.47,,0,,,,,,,,,,,,,,,,,,,,,,
"ANSILAN 0,5MG X 30 COMPRIMIDOS (ALPRAZOLAN) MEGALABS",7594000490129,2.82,2.679,,0,,,,,,,,,,,,,,,,,,,,,,
BROMAZEPAM 6MG X 30 COMPRIMIDOS,7594000490204,6.19,5.8805000000000005,,0,,,,,,,,,,,,,,,,,,,,,,
"CLONATRIL 0,5MG X 30 COMPRIMIDOS MEGALABS",7594000491102,3.41,3.2395,,0,,,,,,,,,,,,,,,,,,,,,,
CLONATRIL COMPDO 1MG X 30 ROWE MEGALABS,7591619520599,4.22,4.0089999999999995,,0,,,,,,,,,,,,,,,,,,,,,,
CLONZEP 0.5MG X 30 TAB VALMORCA,7591020080750,3.34,3.173,,0,,,,,,,,,,,,,,,,,,,,,,
CLONZEP 2 MG X 30 TAB VALMORCA,7591020080767,5.63,5.3485,,0,,,,,,,,,,,,,,,,,,,,,,
