Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Clasificación
,,,,,,,,,,,,,,,,,,LEYENDA,,,,,,,,,,,,,SUPOSITORIOS-CREMAS-OVULOS
,,,,,,,,,,,,,,,,,,NUEVAS ENTRADAS,,,,,,,,,,,,,TABLETAS
,,,,,,,,,,,,,,,,,,OFERTAS,,,,,,,,,,,,,JARABE-GOTAS-INHALADORES- OTROS
,,,,,,,,,,,,,,,,,,PROXIMO A VENCER,,,,,,,,,,,,,ALIMENTOS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISCELANEOS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMPOLLA Y SOLUCIONES
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONCOLOGICOS
,,,,,,,,,,,,,,Unidades,Monto,,,,,,,,,,,,,,,,MMQ
,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
CATEGORIA,COD BARRAS,CODIGO,NUEVO,DESCRIPCION,PRINC ACTIVO,LABORATORIO,PRECIO UNIT,PROMOCION,PRECIO,%,PRECIO,INVENTARIO,FEC LOTE,PEDIDO,MONTO,,,,,,,,,,,,,,,,PSICOTROPICOS Y CONTROLADO
SUPOSITORIOS-CREMAS-OVULOS,6930169708162,004527,,3 CREMA 1 MG - 0.5 MG - 10 MG X 30 GR BLUE MEDICAL,GENTAMICINA - BETAMETASONA - CLOTRIMAZOL,BLUE MEDICAL,2.65,0,2.65,0.265,2.385,727,2024-12-01 00:00:00,,0,,,,,,,,,,,,,,,,BELLEZA Y CUIDADO PERSONAL
TABLETAS,733739000972,005778,,5 - HTP 50 MG X 30 CAPSULAS NOW,HYDROXYTRYPTOPHAN,NOW,10.3,0,10.3,1.03,9.270000000000001,60,2025-08-01 00:00:00,,0,,,,,,,,,,,,,,,,MAQUILLAJE
TABLETAS,733739001054,005280,,5- HTP NEUROTRANSMISOR SUPPORT 100 MG X 60 CAPSULAS NOW,HYDROXYTRYPTOPHAN,NOW,23.12,0,23.12,2.3120000000000003,20.808,53,2027-03-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7596347804973,007204,,9-VIT MULTIVITAMINICO EFERVESCENTE X 20 TABLETAS SABOR NARANJA,MULTIVITAMINA,DPT,11.2,0,11.2,1.1199999999999999,10.08,12,2024-07-04 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7598055000425,002222,,ABECAB  5MG -40 MG  X30 TAB,AMLODIPINO -OLMESARTAN,ACI,4.35,10,3.92,0.392,3.528,143,2023-06-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7598055000418,006053,,ABECAB 5MG -20 MG  X30TAB,AMLODIPINO -OLMESARTAN,ACI,2.15,10,1.94,0.194,1.746,128,2023-05-01 00:00:00,,0,,,,,,,,,,,,,,,,
JARABE-GOTAS-INHALADORES- OTROS,7894164000463,007926,,ABERALGINA SOLUCION EN GOTAS 20 ML,DIPIRONA MONOIDRATADA,AIRELA,1.2,0,1.2,0.12,1.08,181,2024-03-01 00:00:00,,0,,,,,,,,,,,,,,,,
ALIMENTOS,612197152006,007559,,ABINTRA POLVO SABOR NARANJA 27 GR,SUPLEMENTO ALIMENTICIO,ABINTRA,7.54,0,7.54,0.754,6.786,15,2024-09-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7591619520889,007409,,ABRETIA 10MG X 10 CAP,ATOMOXETINA,MEGALABS,10.95,0,10.95,1.095,9.854999999999999,19,2025-03-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7591619520896,007408,,ABRETIA 18 MG X 10 CAP,ATOMOXETINA,MEGALABS,13.25,0,13.25,1.3250000000000002,11.925,6,2025-04-01 00:00:00,,0,,,,,,,,,,,,,,,,
JARABE-GOTAS-INHALADORES- OTROS,7591821102309,004888,,ABVITOS SOLUCION ORAL GOTAS X 30 ML,MULTIVITAMINICO,FARMA,5.3,0,5.3,0.53,4.77,2,2023-09-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,18906005117363,005879,,ACECLOFENACO 100 MG X 10 TABLETAS,ACECLOFENACO,UNICURE,1,0,1,0.1,0.9,48,2024-12-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7594001450016,004685,,ACEITE ALCANFORADO USO EXTERNO 30 ML  (RECETTE MARK),ALCANFOR,RECETTE MARK,1.566,0,1.566,0.15660000000000002,1.4094,169,2025-08-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7596049000123,005258,,ACEITE CREMOSO 200GR DERNIER,ACEITE CREMOSO,DERNIER,2.436,0,2.436,0.2436,2.1924,14,2024-05-01 00:00:00,,0,,,,,,,,,,,,,,,,
JARABE-GOTAS-INHALADORES- OTROS,7597134000851,007749,,ACEITE DE AGUACATE X 120 ML LA ABEJITA,ACEITE DE AGUACATE,ABEJITA,3.9,0,3.9,0.39,3.51,31,2024-09-01 00:00:00,,0,,,,,,,,,,,,,,,,
JARABE-GOTAS-INHALADORES- OTROS,7597134000844,007750,,ACEITE DE AJONJOLI X 120 ML LA ABEJITA,ACEITE DE AJONJOLI,ABEJITA,6,0,6,0.6000000000000001,5.4,31,2024-06-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7594001450030,000003,,ACEITE DE ALMENDRAS 30ML RECETTE,ACEITE DE ALMENDRA,RECETTE MARK,5.162,0,5.162,0.5162,4.6457999999999995,70,2023-05-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7591616000032,005232,,ACEITE DE ALMENDRAS DULCES 30 ML BIOFARCO,ACEITE DE ALMENDRA,BIOFARCO,1.6,0,1.6,0.16000000000000003,1.44,44,2025-07-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7591616000056,005233,,ACEITE DE COCO 30 ML BIOFARCO,ACEITE DE ALMENDRA,BIOFARCO,2.25,0,2.25,0.225,2.025,218,2025-05-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7599028000046,004859,,ACEITE DE COCO 30 ML LYA,ACEITE DE COCO,"LABORATORIOS LYA, C.A",1.85,0,1.85,0.18500000000000003,1.665,7,2025-06-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7594001450054,000004,,ACEITE DE COCO 30 ML RECETTE MARK,ACEITE DE COCO,RECETTE MARK,1.16,0,1.16,0.11599999999999999,1.044,12,2025-07-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7594001450061,003071,,ACEITE DE COCO 60 ML RECETTE MARK,ACEITE DE COCO,RECETTE MARK,2.146,0,2.146,0.2146,1.9314,32,2025-08-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7594001455356,001321,,ACEITE DE COCO 70 ML SPRAY RECETTE MARK,ACEITE DE COCO,RECETTE MARK,4.408,0,4.408,0.4408000000000001,3.9672,51,2024-06-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7591616001930,002043,,ACEITE DE HIGADO DE BACALAO  PED 180ML BIOFARCO,HIGADO DE BACALAO,BIOFARCO,3.9,0,3.9,0.39,3.51,101,2023-11-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7594001450122,000005,,ACEITE DE PALO 30 ML RECETTE MARK,ACEITE DE PALO,RECETTE MARK,2.668,0,2.668,0.26680000000000004,2.4012000000000002,1,2025-09-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7599028000060,008186,,ACEITE MINERAl 30 ML LYA,ACEITE DE MINERAL,"LABORATORIOS LYA, C.A",2.3,0,2.3,0.22999999999999998,2.07,33,2025-08-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7597345000787,007253,,ACEROLA PLUS 450 MG X 30 CAPSULAS (SALUD NATURAL),ACEROLA,SALUD NATURAL,7.3,0,7.3,0.73,6.57,15,2024-03-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,8904306500900,002363,,ACERT-8 MG X10 TAB,CANDESARTAN,JAYWIN,1.5,0,1.5,0.15000000000000002,1.35,691,2024-11-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,8904187887855,007970,,ACETAMINOFEN - CAFEINA X 10 TABLETAS VINCENTI,ACETAMINOFEN - CAFEINA,VINCENTI,2.23,3,2.16,0.21600000000000003,1.9440000000000002,96,2025-01-31 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7591519008494,001456,,ACETAMINOFEN - TRAMADOL 325 MG - 37.5 MG X 10 TABLETAS CALOX,ACETAMINOFEN - TRAMADOL,CALOX,2.8,0,2.8,0.27999999999999997,2.52,264,2024-12-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7598578000384,005129,,ACETAMINOFEN - TRAMADOL 325 MG - 37.5 MG X 30 COMPRIMIDOS DAC 55,ACETAMINOFEN - TRAMADOL,DAC 55,3.07,0,3.07,0.307,2.763,359,2024-10-01 00:00:00,,0,,,,,,,,,,,,,,,,
